class_oog_key,ring,ring_no,ring_day_no,class_order,class_no,class_label,class_number,class_payout,class_name,entry_order,entry_no,horse,rider,trainer,source_endpoint,source_payload
29303|1217,,676,,,29303,,,,,1,1217,Dream Boat,Megan Wexler,Megan Wexler,class_oog.php,
29303|1522,,676,,,29303,,,,,2,1522,Calid 3,Jake Evans,Jake Evans,class_oog.php,
29303|1665,,676,,,29303,,,,,3,1665,Salt Spring,Kyle Dewar,Kyle Dewar,class_oog.php,
29303|1728,,676,,,29303,,,,,4,1728,Simpatico,Stephanie Frey,Stephanie Frey,class_oog.php,
29303|1823,,676,,,29303,,,,,5,1823,Aperture Vf,Lia Screnci,Lia Screnci,class_oog.php,
29303|2393,,676,,,29303,,,,,6,2393,United's Choice,Dana Ventrice,Dana Ventrice,class_oog.php,
29303|2608,,676,,,29303,,,,,7,2608,Vincent Van Gough,Jasmine Walsh,Jasmine Walsh,class_oog.php,
29303|2868,,676,,,29303,,,,,8,2868,Mtm Drop The Mic,Tracy Fenney,Michael J. Mccormick,class_oog.php,
29306|1217,,676,,,29306,,,,,1,1217,Dream Boat,Megan Wexler,Megan Wexler,class_oog.php,
29306|1522,,676,,,29306,,,,,2,1522,Calid 3,Jake Evans,Jake Evans,class_oog.php,
29306|1665,,676,,,29306,,,,,3,1665,Salt Spring,Kyle Dewar,Kyle Dewar,class_oog.php,
29306|1728,,676,,,29306,,,,,4,1728,Simpatico,Stephanie Frey,Stephanie Frey,class_oog.php,
29306|1823,,676,,,29306,,,,,5,1823,Aperture Vf,Lia Screnci,Lia Screnci,class_oog.php,
29306|2393,,676,,,29306,,,,,6,2393,United's Choice,Dana Ventrice,Dana Ventrice,class_oog.php,
29306|2608,,676,,,29306,,,,,7,2608,Vincent Van Gough,Jasmine Walsh,Jasmine Walsh,class_oog.php,
29306|2868,,676,,,29306,,,,,8,2868,Mtm Drop The Mic,Tracy Fenney,Michael J. Mccormick,class_oog.php,
29264|1049,,676,,,29264,,,,,1,1049,Vote For Pedro,Carsyn Korotkin,Alan Korotkin,class_oog.php,
29264|1222,,676,,,29264,,,,,2,1222,Ladies Night,Megan Wexler,Megan Wexler,class_oog.php,
29264|1453,,676,,,29264,,,,,3,1453,Childhood Dream,Lanie Nash,Dawn Hersey,class_oog.php,
29264|1748,,676,,,29264,,,,,4,1748,Center Stage,Kirsten L. Malacarne,George J. Bessette,class_oog.php,
29264|1774,,676,,,29264,,,,,5,1774,Endeavor In His Name,Alyson Jones,Kim Taylor,class_oog.php,
29264|1848,,676,,,29264,,,,,6,1848,Mystery Man,Schuyler Dayner,Heather Dayner,class_oog.php,
29264|1977,,676,,,29264,,,,,7,1977,Just A Gentleman,Brittany G. Wyatt,Stephanie Free,class_oog.php,
29264|2049,,676,,,29264,,,,,8,2049,Top Secret Hk,Helen Goddard,Helen Goddard,class_oog.php,
29264|2066,,676,,,29264,,,,,9,2066,Red Admiral,Elizabeth C. de Golian,Elizabeth C. de Golian,class_oog.php,
29264|2120,,676,,,29264,,,,,10,2120,Freeman,Caroline Willard Briles,Caroline Willard Briles,class_oog.php,
29264|2387,,676,,,29264,,,,,11,2387,Winterfells Castle Black,Sierra Montgomery,Lisa Hasenbeck,class_oog.php,
29264|2522,,676,,,29264,,,,,12,2522,Remix De Ganad,Alexandra Hird,August Torsilieri,class_oog.php,
29264|2623,,676,,,29264,,,,,13,2623,Sophistakkato,Katherine Nunez,Debra L. Ward,class_oog.php,
29264|2820,,676,,,29264,,,,,14,2820,Peyton Cm Kapade,Angelina M Palmeri,Derek Van Der Burgh,class_oog.php,
29264|2865,,676,,,29264,,,,,15,2865,Ewsz Chardonnay,Kalli Core,Bobby Boulger,class_oog.php,
29264|2943,,676,,,29264,,,,,16,2943,Gladrags,Stephanie Frey,Stephanie Frey,class_oog.php,
29264|2969,,676,,,29264,,,,,17,2969,Kismet,Joshua Tabor,Joshua Tabor,class_oog.php,
29264|2974,,676,,,29264,,,,,18,2974,St. Nick,Kalli Core,Bobby Boulger,class_oog.php,
29264|2977,,676,,,29264,,,,,19,2977,Dialey Ak,Helen Goddard,Helen Goddard,class_oog.php,
29264|2978,,676,,,29264,,,,,20,2978,Toussant,Helen Goddard,Helen Goddard,class_oog.php,
29264|3034,,676,,,29264,,,,,21,3034,Napoleon,Robert P. Stucky,Robert P. Stucky,class_oog.php,
29263|1049,,676,,,29263,,,,,1,1049,Vote For Pedro,Carsyn Korotkin,Alan Korotkin,class_oog.php,
29263|1222,,676,,,29263,,,,,2,1222,Ladies Night,Megan Wexler,Megan Wexler,class_oog.php,
29263|1453,,676,,,29263,,,,,3,1453,Childhood Dream,Lanie Nash,Dawn Hersey,class_oog.php,
29263|1748,,676,,,29263,,,,,4,1748,Center Stage,Kirsten L. Malacarne,George J. Bessette,class_oog.php,
29263|1774,,676,,,29263,,,,,5,1774,Endeavor In His Name,Alyson Jones,Kim Taylor,class_oog.php,
29263|1848,,676,,,29263,,,,,6,1848,Mystery Man,Schuyler Dayner,Heather Dayner,class_oog.php,
29263|1977,,676,,,29263,,,,,7,1977,Just A Gentleman,Brittany G. Wyatt,Stephanie Free,class_oog.php,
29263|2049,,676,,,29263,,,,,8,2049,Top Secret Hk,Helen Goddard,Helen Goddard,class_oog.php,
29263|2120,,676,,,29263,,,,,9,2120,Freeman,Caroline Willard Briles,Caroline Willard Briles,class_oog.php,
29263|2387,,676,,,29263,,,,,10,2387,Winterfells Castle Black,Sierra Montgomery,Lisa Hasenbeck,class_oog.php,
29263|2522,,676,,,29263,,,,,11,2522,Remix De Ganad,Alexandra Hird,August Torsilieri,class_oog.php,
29263|2623,,676,,,29263,,,,,12,2623,Sophistakkato,Katherine Nunez,Debra L. Ward,class_oog.php,
29263|2820,,676,,,29263,,,,,13,2820,Peyton Cm Kapade,Angelina M Palmeri,Derek Van Der Burgh,class_oog.php,
29263|2865,,676,,,29263,,,,,14,2865,Ewsz Chardonnay,Kalli Core,Bobby Boulger,class_oog.php,
29263|2943,,676,,,29263,,,,,15,2943,Gladrags,Stephanie Frey,Stephanie Frey,class_oog.php,
29263|2969,,676,,,29263,,,,,16,2969,Kismet,Joshua Tabor,Joshua Tabor,class_oog.php,
29263|2974,,676,,,29263,,,,,17,2974,St. Nick,Kalli Core,Bobby Boulger,class_oog.php,
29263|2977,,676,,,29263,,,,,18,2977,Dialey Ak,Helen Goddard,Helen Goddard,class_oog.php,
29263|2978,,676,,,29263,,,,,19,2978,Toussant,Helen Goddard,Helen Goddard,class_oog.php,
29263|3034,,676,,,29263,,,,,20,3034,Napoleon,Robert P. Stucky,Robert P. Stucky,class_oog.php,
29260|1222,,676,,,29260,,,,,1,1222,Ladies Night,Megan Wexler,Megan Wexler,class_oog.php,
29260|1453,,676,,,29260,,,,,2,1453,Childhood Dream,Lanie Nash,Dawn Hersey,class_oog.php,
29260|1848,,676,,,29260,,,,,3,1848,Mystery Man,Schuyler Dayner,Heather Dayner,class_oog.php,
29260|1977,,676,,,29260,,,,,4,1977,Just A Gentleman,Brittany G. Wyatt,Stephanie Free,class_oog.php,
29260|2387,,676,,,29260,,,,,5,2387,Winterfells Castle Black,Sierra Montgomery,Lisa Hasenbeck,class_oog.php,
29260|2522,,676,,,29260,,,,,6,2522,Remix De Ganad,Alexandra Hird,August Torsilieri,class_oog.php,
29260|2820,,676,,,29260,,,,,7,2820,Peyton Cm Kapade,Angelina M Palmeri,Derek Van Der Burgh,class_oog.php,
29260|2865,,676,,,29260,,,,,8,2865,Ewsz Chardonnay,Kalli Core,Bobby Boulger,class_oog.php,
29260|2941,,676,,,29260,,,,,9,2941,Nightfall,Windsor Ryan,Traci A. Weston,class_oog.php,
29260|2974,,676,,,29260,,,,,10,2974,St. Nick,Kalli Core,Bobby Boulger,class_oog.php,
29260|2978,,676,,,29260,,,,,11,2978,Toussant,Helen Goddard,Helen Goddard,class_oog.php,
29260|3034,,676,,,29260,,,,,12,3034,Napoleon,Robert P. Stucky,Robert P. Stucky,class_oog.php,
29312|1483,,676,,,29312,,,,,1,1483,Thunder Shark,Fabian Herrera,Fabian Herrera,class_oog.php,
29312|2066,,676,,,29312,,,,,2,2066,Red Admiral,Elizabeth C. de Golian,Elizabeth C. de Golian,class_oog.php,
29312|2120,,676,,,29312,,,,,3,2120,Freeman,Caroline Willard Briles,Caroline Willard Briles,class_oog.php,
29312|2969,,676,,,29312,,,,,4,2969,Kismet,Joshua Tabor,Joshua Tabor,class_oog.php,
29313|1483,,676,,,29313,,,,,1,1483,Thunder Shark,Fabian Herrera,Fabian Herrera,class_oog.php,
29313|2066,,676,,,29313,,,,,2,2066,Red Admiral,Elizabeth C. de Golian,Elizabeth C. de Golian,class_oog.php,
29313|2120,,676,,,29313,,,,,3,2120,Freeman,Caroline Willard Briles,Caroline Willard Briles,class_oog.php,
29313|2969,,676,,,29313,,,,,4,2969,Kismet,Joshua Tabor,Joshua Tabor,class_oog.php,
29316|1483,,676,,,29316,,,,,1,1483,Thunder Shark,Fabian Herrera,Fabian Herrera,class_oog.php,
29316|2066,,676,,,29316,,,,,2,2066,Red Admiral,Elizabeth C. de Golian,Elizabeth C. de Golian,class_oog.php,
29316|2120,,676,,,29316,,,,,3,2120,Freeman,Caroline Willard Briles,Caroline Willard Briles,class_oog.php,
29316|2969,,676,,,29316,,,,,4,2969,Kismet,Joshua Tabor,Joshua Tabor,class_oog.php,
29317|1221,,676,,,29317,,,,,1,1221,Kobalt Des Vk,Megan Wexler,Megan Wexler,class_oog.php,
29317|2865,,676,,,29317,,,,,2,2865,Ewsz Chardonnay,Kalli Core,Bobby Boulger,class_oog.php,
29317|2945,,676,,,29317,,,,,3,2945,Koletta,Stephanie Frey,Stephanie Frey,class_oog.php,
29317|2972,,676,,,29317,,,,,4,2972,Cartier De Muze,Lincoln Russell,Lincoln Russell,class_oog.php,
29318|1221,,676,,,29318,,,,,1,1221,Kobalt Des Vk,Megan Wexler,Megan Wexler,class_oog.php,
29318|2865,,676,,,29318,,,,,2,2865,Ewsz Chardonnay,Kalli Core,Bobby Boulger,class_oog.php,
29318|2945,,676,,,29318,,,,,3,2945,Koletta,Stephanie Frey,Stephanie Frey,class_oog.php,
29318|2972,,676,,,29318,,,,,4,2972,Cartier De Muze,Lincoln Russell,Lincoln Russell,class_oog.php,
29321|1221,,676,,,29321,,,,,1,1221,Kobalt Des Vk,Megan Wexler,Megan Wexler,class_oog.php,
29321|2865,,676,,,29321,,,,,2,2865,Ewsz Chardonnay,Kalli Core,Bobby Boulger,class_oog.php,
29321|2945,,676,,,29321,,,,,3,2945,Koletta,Stephanie Frey,Stephanie Frey,class_oog.php,
29321|2972,,676,,,29321,,,,,4,2972,Cartier De Muze,Lincoln Russell,Lincoln Russell,class_oog.php,
29322|1582,,676,,,29322,,,,,1,1582,Harmony De Muze,Jake Evans,Jake Evans,class_oog.php,
29322|2348,,676,,,29322,,,,,2,2348,Cupido De Jolie Z,Katlynn Butler,Katlynn Butler,class_oog.php,
29322|2977,,676,,,29322,,,,,3,2977,Dialey Ak,Helen Goddard,Helen Goddard,class_oog.php,
29323|1582,,676,,,29323,,,,,1,1582,Harmony De Muze,Jake Evans,Jake Evans,class_oog.php,
29323|2348,,676,,,29323,,,,,2,2348,Cupido De Jolie Z,Katlynn Butler,Katlynn Butler,class_oog.php,
29323|2977,,676,,,29323,,,,,3,2977,Dialey Ak,Helen Goddard,Helen Goddard,class_oog.php,
29326|1582,,676,,,29326,,,,,1,1582,Harmony De Muze,Jake Evans,Jake Evans,class_oog.php,
29326|2348,,676,,,29326,,,,,2,2348,Cupido De Jolie Z,Katlynn Butler,Katlynn Butler,class_oog.php,
29326|2977,,676,,,29326,,,,,3,2977,Dialey Ak,Helen Goddard,Helen Goddard,class_oog.php,
29061|1222,,678,,,29061,,,,,1,1222,Ladies Night,Megan Wexler,Megan Wexler,class_oog.php,
29061|1301,,678,,,29061,,,,,2,1301,Quatro,Lanie Nash,Dawn Hersey,class_oog.php,
29061|1458,,678,,,29061,,,,,3,1458,Sweeter Than Fiction,Addy Dewalt,Wendy J. Hechler,class_oog.php,
29061|1493,,678,,,29061,,,,,4,1493,Lyon,Katherine Addington,Bibby F. Hill,class_oog.php,
29061|1554,,678,,,29061,,,,,5,1554,Going Global,Jenny Miller,Jenny Miller,class_oog.php,
29061|1698,,678,,,29061,,,,,6,1698,Orchard Hills Best Dressed,Ryan Haselden,Lindsay Haselden,class_oog.php,
29061|1748,,678,,,29061,,,,,7,1748,Center Stage,Kirsten L. Malacarne,George J. Bessette,class_oog.php,
29061|1918,,678,,,29061,,,,,8,1918,The Flying Dutchman,Bryce P. Richardson,Bryce P. Richardson,class_oog.php,
29061|1924,,678,,,29061,,,,,9,1924,Argento 2,Aubrey Frank,Derek Van Der Burgh,class_oog.php,
29061|1983,,678,,,29061,,,,,10,1983,Koh I Knoor,Natalie Johnson Russell,Natalie Johnson Russell,class_oog.php,
29061|2097,,678,,,29061,,,,,11,2097,Cleveland 42,Isaac Leffkowitz,Isaac Leffkowitz,class_oog.php,
29061|2099,,678,,,29061,,,,,12,2099,Loire,Isaac Leffkowitz,Isaac Leffkowitz,class_oog.php,
29061|2161,,678,,,29061,,,,,13,2161,Astronaut H Z,Teresa Pompay,Josh Dolan,class_oog.php,
29061|2304,,678,,,29061,,,,,14,2304,Camden Street,Phillipa Greenberg,Wendy J. Hechler,class_oog.php,
29061|2610,,678,,,29061,,,,,15,2610,Starridor,Charlotte H. Wiese,Jasmine Walsh,class_oog.php,
29061|2668,,678,,,29061,,,,,16,2668,Curtis 89,Josephine Demmo,Alan Korotkin,class_oog.php,
29061|2725,,678,,,29061,,,,,17,2725,Coeur D'honneur,Jennifer Phethean,Jennifer Phethean,class_oog.php,
29061|2937,,678,,,29061,,,,,18,2937,Follow Me,Marissa Creviston,Marissa Creviston,class_oog.php,
29061|2940,,678,,,29061,,,,,19,2940,Obora’s Sandman,Marissa Creviston,Marissa Creviston,class_oog.php,
29061|2974,,678,,,29061,,,,,20,2974,St. Nick,Kalli Core,Bobby Boulger,class_oog.php,
29061|3034,,678,,,29061,,,,,21,3034,Napoleon,Robert P. Stucky,Robert P. Stucky,class_oog.php,
29062|1222,,678,,,29062,,,,,1,1222,Ladies Night,Megan Wexler,Megan Wexler,class_oog.php,
29062|1301,,678,,,29062,,,,,2,1301,Quatro,Lanie Nash,Dawn Hersey,class_oog.php,
29062|1458,,678,,,29062,,,,,3,1458,Sweeter Than Fiction,Addy Dewalt,Wendy J. Hechler,class_oog.php,
29062|1493,,678,,,29062,,,,,4,1493,Lyon,Katherine Addington,Bibby F. Hill,class_oog.php,
29062|1554,,678,,,29062,,,,,5,1554,Going Global,Jenny Miller,Jenny Miller,class_oog.php,
29062|1698,,678,,,29062,,,,,6,1698,Orchard Hills Best Dressed,Ryan Haselden,Lindsay Haselden,class_oog.php,
29062|1748,,678,,,29062,,,,,7,1748,Center Stage,Kirsten L. Malacarne,George J. Bessette,class_oog.php,
29062|1924,,678,,,29062,,,,,8,1924,Argento 2,Aubrey Frank,Derek Van Der Burgh,class_oog.php,
29062|1983,,678,,,29062,,,,,9,1983,Koh I Knoor,Natalie Johnson Russell,Natalie Johnson Russell,class_oog.php,
29062|2097,,678,,,29062,,,,,10,2097,Cleveland 42,Isaac Leffkowitz,Isaac Leffkowitz,class_oog.php,
29062|2099,,678,,,29062,,,,,11,2099,Loire,Isaac Leffkowitz,Isaac Leffkowitz,class_oog.php,
29062|2161,,678,,,29062,,,,,12,2161,Astronaut H Z,Teresa Pompay,Josh Dolan,class_oog.php,
29062|2304,,678,,,29062,,,,,13,2304,Camden Street,Phillipa Greenberg,Wendy J. Hechler,class_oog.php,
29062|2610,,678,,,29062,,,,,14,2610,Starridor,Charlotte H. Wiese,Jasmine Walsh,class_oog.php,
29062|2668,,678,,,29062,,,,,15,2668,Curtis 89,Josephine Demmo,Alan Korotkin,class_oog.php,
29062|2725,,678,,,29062,,,,,16,2725,Coeur D'honneur,Jennifer Phethean,Jennifer Phethean,class_oog.php,
29062|2937,,678,,,29062,,,,,17,2937,Follow Me,Marissa Creviston,Marissa Creviston,class_oog.php,
29062|2940,,678,,,29062,,,,,18,2940,Obora’s Sandman,Marissa Creviston,Marissa Creviston,class_oog.php,
29062|2974,,678,,,29062,,,,,19,2974,St. Nick,Kalli Core,Bobby Boulger,class_oog.php,
29062|3034,,678,,,29062,,,,,20,3034,Napoleon,Robert P. Stucky,Robert P. Stucky,class_oog.php,
29046|1918,,678,,,29046,,,,,1,1918,The Flying Dutchman,Bryce P. Richardson,Bryce P. Richardson,class_oog.php,
29046|2097,,678,,,29046,,,,,2,2097,Cleveland 42,Isaac Leffkowitz,Isaac Leffkowitz,class_oog.php,
29046|2099,,678,,,29046,,,,,3,2099,Loire,Isaac Leffkowitz,Isaac Leffkowitz,class_oog.php,
29046|2715,,678,,,29046,,,,,4,2715,Living The Dream,Aidan Murphy,Candice King,class_oog.php,
29046|2730,,678,,,29046,,,,,5,2730,Striking Elsa,Phillipa Greenberg,Jennifer Phethean,class_oog.php,
29046|2838,,678,,,29046,,,,,6,2838,Delisa Gp,Heather Froehlich Cortell,Heather Froehlich Cortell,class_oog.php,
29046|2949,,678,,,29046,,,,,7,2949,Nadia I,Daina Greene,Andras Szieberth,class_oog.php,
29047|1918,,678,,,29047,,,,,1,1918,The Flying Dutchman,Bryce P. Richardson,Bryce P. Richardson,class_oog.php,
29047|2097,,678,,,29047,,,,,2,2097,Cleveland 42,Isaac Leffkowitz,Isaac Leffkowitz,class_oog.php,
29047|2099,,678,,,29047,,,,,3,2099,Loire,Isaac Leffkowitz,Isaac Leffkowitz,class_oog.php,
29047|2715,,678,,,29047,,,,,4,2715,Living The Dream,Aidan Murphy,Candice King,class_oog.php,
29047|2730,,678,,,29047,,,,,5,2730,Striking Elsa,Phillipa Greenberg,Jennifer Phethean,class_oog.php,
29047|2838,,678,,,29047,,,,,6,2838,Delisa Gp,Heather Froehlich Cortell,Heather Froehlich Cortell,class_oog.php,
29047|2949,,678,,,29047,,,,,7,2949,Nadia I,Daina Greene,Andras Szieberth,class_oog.php,
29065|1222,,678,,,29065,,,,,1,1222,Ladies Night,Megan Wexler,Megan Wexler,class_oog.php,
29065|1458,,678,,,29065,,,,,2,1458,Sweeter Than Fiction,Addy Dewalt,Wendy J. Hechler,class_oog.php,
29065|1493,,678,,,29065,,,,,3,1493,Lyon,Katherine Addington,Bibby F. Hill,class_oog.php,
29065|1698,,678,,,29065,,,,,4,1698,Orchard Hills Best Dressed,Ryan Haselden,Lindsay Haselden,class_oog.php,
29065|1924,,678,,,29065,,,,,5,1924,Argento 2,Aubrey Frank,Derek Van Der Burgh,class_oog.php,
29065|1983,,678,,,29065,,,,,6,1983,Koh I Knoor,Natalie Johnson Russell,Natalie Johnson Russell,class_oog.php,
29065|2304,,678,,,29065,,,,,7,2304,Camden Street,Phillipa Greenberg,Wendy J. Hechler,class_oog.php,
29065|2607,,678,,,29065,,,,,8,2607,Santino,Jasmine Walsh,Jasmine Walsh,class_oog.php,
29065|2725,,678,,,29065,,,,,9,2725,Coeur D'honneur,Jennifer Phethean,Jennifer Phethean,class_oog.php,
29065|2974,,678,,,29065,,,,,10,2974,St. Nick,Kalli Core,Bobby Boulger,class_oog.php,
29065|3034,,678,,,29065,,,,,11,3034,Napoleon,Robert P. Stucky,Robert P. Stucky,class_oog.php,
29056|1027,,678,,,29056,,,,,1,1027,Fort Knox,Lainey Posa,Alan Korotkin,class_oog.php,
29056|1029,,678,,,29056,,,,,2,1029,Halo,Carsyn Korotkin,Alan Korotkin,class_oog.php,
29056|1495,,678,,,29056,,,,,3,1495,Parade,Devin A. Seek,Bibby F. Hill,class_oog.php,
29056|1498,,678,,,29056,,,,,4,1498,Untitled,Katherine Addington,Bibby F. Hill,class_oog.php,
29056|1509,,678,,,29056,,,,,5,1509,Amuze Bouche,Wendy J. Hechler,Wendy J. Hechler,class_oog.php,
29056|1554,,678,,,29056,,,,,6,1554,Going Global,Lindsay Meyer,Jenny Miller,class_oog.php,
29056|1966,,678,,,29056,,,,,7,1966,Carli De Sabette,Vannakay Hurnevich,Kim E. Burnette,class_oog.php,
29056|2183,,678,,,29056,,,,,8,2183,Follow Me Home,Caitlin Maloney,Caitlin Maloney,class_oog.php,
29056|2386,,678,,,29056,,,,,9,2386,Marvick,Sierra Montgomery,Lisa Hasenbeck,class_oog.php,
29056|2390,,678,,,29056,,,,,10,2390,Poptart,Lainey Posa,Alan Korotkin,class_oog.php,
29056|2391,,678,,,29056,,,,,11,2391,Benlea Magic Dragon,Noemi Varela,Dana Ventrice,class_oog.php,
29056|2973,,678,,,29056,,,,,12,2973,Khan Of Ballmore,Mari Gromkowski,Mari Gromkowski,class_oog.php,
29057|1027,,678,,,29057,,,,,1,1027,Fort Knox,Jessica Heap,Alan Korotkin,class_oog.php,
29057|1029,,678,,,29057,,,,,2,1029,Halo,Kate Marisch,Alan Korotkin,class_oog.php,
29057|1495,,678,,,29057,,,,,3,1495,Parade,Devin A. Seek,Bibby F. Hill,class_oog.php,
29057|1498,,678,,,29057,,,,,4,1498,Untitled,Katherine Addington,Bibby F. Hill,class_oog.php,
29057|1554,,678,,,29057,,,,,5,1554,Going Global,Lindsay Meyer,Jenny Miller,class_oog.php,
29057|1966,,678,,,29057,,,,,6,1966,Carli De Sabette,Vannakay Hurnevich,Kim E. Burnette,class_oog.php,
29057|2183,,678,,,29057,,,,,7,2183,Follow Me Home,Caitlin Maloney,Caitlin Maloney,class_oog.php,
29057|2386,,678,,,29057,,,,,8,2386,Marvick,Sierra Montgomery,Lisa Hasenbeck,class_oog.php,
29057|2390,,678,,,29057,,,,,9,2390,Poptart,Jessica Heap,Alan Korotkin,class_oog.php,
29057|2391,,678,,,29057,,,,,10,2391,Benlea Magic Dragon,Noemi Varela,Dana Ventrice,class_oog.php,
29057|2973,,678,,,29057,,,,,11,2973,Khan Of Ballmore,Angela R. Calkins,Mari Gromkowski,class_oog.php,
33485|1682,,737,,,33485,,,,,1,1682,Allegra Van Het Eikenhof Z,Aria Collins,Jessica Collins,class_oog.php,
29408|1424,,750,,,29408,,,,,1,1424,Arthur,Stefano Baruzzo,Stefano Baruzzo,class_oog.php,
29408|2543,,750,,,29408,,,,,2,2543,Billy Snowdonia,Camille Maynard,Camille Maynard,class_oog.php,
29408|2882,,750,,,29408,,,,,3,2882,Crush,Scott Diffey,Scott Diffey,class_oog.php,