entry_go_key,show_no,focus_day,ring_day_no,ring_no,class_no,class_start_time,display_time,entry_count,entry_no,entry_order,horse,rider,trainer,go_time
29237|146|1,14906,2026-06-10,3860,670,29237,08:00:00,8:00 am,29,146,1,Tulara Cascara,Aaron Vale,Ben Taylor,
29237|123|2,14906,2026-06-10,3860,670,29237,08:00:00,8:00 am,29,123,2,Cordis Totalis Z,Selcuk Koksalan,Selcuk Koksalan,
29237|153|3,14906,2026-06-10,3860,670,29237,08:00:00,8:00 am,29,153,3,Champion League,Sharn L. Wordley,Sharn L. Wordley,
29237|114|4,14906,2026-06-10,3860,670,29237,08:00:00,8:00 am,29,114,4,Mestizo Ls,Lukene Arenas,Lukene Arenas,
29237|104|5,14906,2026-06-10,3860,670,29237,08:00:00,8:00 am,29,104,5,Helia Ffh,Kyle Dewar,Kyle Dewar,
29237|158|6,14906,2026-06-10,3860,670,29237,08:00:00,8:00 am,29,158,6,Icare Chavannais,Priscilla Broger,Priscilla Broger,
29237|132|7,14906,2026-06-10,3860,670,29237,08:00:00,8:00 am,29,132,7,Hop Mouche,Laura Gaither,Laura Gaither,
29237|160|8,14906,2026-06-10,3860,670,29237,08:00:00,8:00 am,29,160,8,The Golden Road,Camille Maynard,Camille Maynard,
29237|111|9,14906,2026-06-10,3860,670,29237,08:00:00,8:00 am,29,111,9,Cascais Hc,Juan J. Bancalari,Juan M. Bolanos,
29237|126|10,14906,2026-06-10,3860,670,29237,08:00:00,8:00 am,29,126,10,Hendrick Des Forets,Jodie Camberg,Megan Wexler,
29237|115|11,14906,2026-06-10,3860,670,29237,08:00:00,8:00 am,29,115,11,Goliath De L’ Eldorado,Declan Egan,Declan Egan,
29237|106|12,14906,2026-06-10,3860,670,29237,08:00:00,8:00 am,29,106,12,Kadar Hbc,Simon Arango,Juan M. Bolanos,
29237|147|13,14906,2026-06-10,3860,670,29237,08:00:00,8:00 am,29,147,13,Effixe Du Melnire,Juan E. Hidalgo,Juan E. Hidalgo,
29237|155|14,14906,2026-06-10,3860,670,29237,08:00:00,8:00 am,29,155,14,Nimbus Rfb,Aaron Vale,Ben Taylor,
29237|159|15,14906,2026-06-10,3860,670,29237,08:00:00,8:00 am,29,159,15,S&l Protector,Ciaran Flynn,Michael J. Mccormick,
29237|156|16,14906,2026-06-10,3860,670,29237,08:00:00,8:00 am,29,156,16,Yalambis Ikon,Maddison Stephen,Maddison Stephen,
29237|124|17,14906,2026-06-10,3860,670,29237,08:00:00,8:00 am,29,124,17,Montecristo,Selcuk Koksalan,Selcuk Koksalan,
29237|154|18,14906,2026-06-10,3860,670,29237,08:00:00,8:00 am,29,154,18,Hagelin,Sharn L. Wordley,Sharn L. Wordley,
29237|103|19,14906,2026-06-10,3860,670,29237,08:00:00,8:00 am,29,103,19,Hutin De L'abbaye,Kyle Dewar,Kyle Dewar,
29237|120|20,14906,2026-06-10,3860,670,29237,08:00:00,8:00 am,29,120,20,Charly Brown 353,Maya Denis,Megan Wexler,
29237|105|21,14906,2026-06-10,3860,670,29237,08:00:00,8:00 am,29,105,21,Hopefull Menjoulet,Taylor St Jacques,Taylor St Jacques,
29237|125|22,14906,2026-06-10,3860,670,29237,08:00:00,8:00 am,29,125,22,Conthinder,Sophia Ayers,Ben Taylor,
29237|108|23,14906,2026-06-10,3860,670,29237,08:00:00,8:00 am,29,108,23,Chriszi,David Cameron,David Cameron,
29237|134|24,14906,2026-06-10,3860,670,29237,08:00:00,8:00 am,29,134,24,Hollywood V,Amanda Gomez,Pamela Gomez,
29237|107|25,14906,2026-06-10,3860,670,29237,08:00:00,8:00 am,29,107,25,Conthalando Ps,Manuel G. Torres,Manuel G. Torres,
29237|157|26,14906,2026-06-10,3860,670,29237,08:00:00,8:00 am,29,157,26,Verdini D'houtveld Z,Lauren Balcomb,Sharn L. Wordley,
29237|141|27,14906,2026-06-10,3860,670,29237,08:00:00,8:00 am,29,141,27,Sternmarke 3,Wilton J. Porter,Wilton J. Porter,
29237|151|28,14906,2026-06-10,3860,670,29237,08:00:00,8:00 am,29,151,28,Contigo Z,Samuel Parot,Samuel Parot,
29237|143|29,14906,2026-06-10,3860,670,29237,08:00:00,8:00 am,29,143,29,Pmf Inventiv,Angela Swanson,Angela Swanson,
29237|145|30,14906,2026-06-10,3860,670,29237,08:00:00,8:00 am,29,145,30,Chutter Du Rouet Ps,Aaron Vale,Ben Taylor,
29237|113|31,14906,2026-06-10,3860,670,29237,08:00:00,8:00 am,29,113,31,Arezzo Z,Juan M. Bolanos,Juan M. Bolanos,
29237|133|32,14906,2026-06-10,3860,670,29237,08:00:00,8:00 am,29,133,32,My Diamant,Laura Gaither,Laura Gaither,
28941|162|1,14906,2026-06-10,3860,670,28941,10:00:00,10:00 am,27,162,1,Hakatann De Lojou,Ashlee Bond,Ashlee Bond,
28941|146|2,14906,2026-06-10,3860,670,28941,10:00:00,10:00 am,27,146,2,Tulara Cascara,Aaron Vale,Ben Taylor,
28941|120|3,14906,2026-06-10,3860,670,28941,10:00:00,10:00 am,27,120,3,Charly Brown 353,Maya Denis,Megan Wexler,
28941|108|4,14906,2026-06-10,3860,670,28941,10:00:00,10:00 am,27,108,4,Chriszi,David Cameron,David Cameron,
28941|154|5,14906,2026-06-10,3860,670,28941,10:00:00,10:00 am,27,154,5,Hagelin,Sharn L. Wordley,Sharn L. Wordley,
28941|161|6,14906,2026-06-10,3860,670,28941,10:00:00,10:00 am,27,161,6,Jason Brown,Flavio Montenegro,Ben Taylor,
28941|122|7,14906,2026-06-10,3860,670,28941,10:00:00,10:00 am,27,122,7,Feinschnitt,Dominique Gonzalez,Terry Gonzalez,
28941|112|8,14906,2026-06-10,3860,670,28941,10:00:00,10:00 am,27,112,8,Fraxinus Des Coeuries,Juan J. Bancalari,Juan M. Bolanos,
28941|129|9,14906,2026-06-10,3860,670,28941,10:00:00,10:00 am,27,129,9,Mtm Can Talk To Me,Tracy Fenney,Michael J. Mccormick,
28941|142|10,14906,2026-06-10,3860,670,28941,10:00:00,10:00 am,27,142,10,Puccini Van Orti,Lia Screnci,Lia Screnci,
28941|151|11,14906,2026-06-10,3860,670,28941,10:00:00,10:00 am,27,151,11,Contigo Z,Samuel Parot,Samuel Parot,
28941|109|12,14906,2026-06-10,3860,670,28941,10:00:00,10:00 am,27,109,12,Elalisa,Maleah Lang Mcmahon,Maleah Lang Mcmahon,
28941|157|13,14906,2026-06-10,3860,670,28941,10:00:00,10:00 am,27,157,13,Verdini D'houtveld Z,Lauren Balcomb,Sharn L. Wordley,
28941|127|14,14906,2026-06-10,3860,670,28941,10:00:00,10:00 am,27,127,14,Artic Jt Z,Captain Brian Cournane,Captain Brian Cournane,
28941|159|15,14906,2026-06-10,3860,670,28941,10:00:00,10:00 am,27,159,15,S&l Protector,Ciaran Flynn,Michael J. Mccormick,
28941|138|16,14906,2026-06-10,3860,670,28941,10:00:00,10:00 am,27,138,16,Cardozo 4,Tanner Korotkin,Alan Korotkin,
28941|155|17,14906,2026-06-10,3860,670,28941,10:00:00,10:00 am,27,155,17,Nimbus Rfb,Aaron Vale,Ben Taylor,
28941|149|18,14906,2026-06-10,3860,670,28941,10:00:00,10:00 am,27,149,18,Quicksilver C,Luis Sabino Goncalves,Luis Sabino Goncalves,
28941|118|19,14906,2026-06-10,3860,670,28941,10:00:00,10:00 am,27,118,19,Comme Ci Comme Ca,Ashlee Bond,Ashlee Bond,
28941|126|20,14906,2026-06-10,3860,670,28941,10:00:00,10:00 am,27,126,20,Hendrick Des Forets,Jodie Camberg,Megan Wexler,
28941|153|21,14906,2026-06-10,3860,670,28941,10:00:00,10:00 am,27,153,21,Champion League,Sharn L. Wordley,Sharn L. Wordley,
28941|133|22,14906,2026-06-10,3860,670,28941,10:00:00,10:00 am,27,133,22,My Diamant,Laura Gaither,Laura Gaither,
28941|107|23,14906,2026-06-10,3860,670,28941,10:00:00,10:00 am,27,107,23,Conthalando Ps,Manuel G. Torres,Manuel G. Torres,
28941|140|24,14906,2026-06-10,3860,670,28941,10:00:00,10:00 am,27,140,24,Dorchester,Nora Nauss,Andrew C. Welles,
28941|116|25,14906,2026-06-10,3860,670,28941,10:00:00,10:00 am,27,116,25,Santiago Vh Netehof,Cormac Hanley,Thea N. Stinnett,
28941|152|26,14906,2026-06-10,3860,670,28941,10:00:00,10:00 am,27,152,26,Gradje O,Samuel Parot,Samuel Parot,
28941|115|27,14906,2026-06-10,3860,670,28941,10:00:00,10:00 am,27,115,27,Goliath De L’ Eldorado,Declan Egan,Declan Egan,
28941|156|28,14906,2026-06-10,3860,670,28941,10:00:00,10:00 am,27,156,28,Yalambis Ikon,Maddison Stephen,Maddison Stephen,
28941|131|29,14906,2026-06-10,3860,670,28941,10:00:00,10:00 am,27,131,29,Mtm Pablo,Tracy Fenney,Michael J. Mccormick,
28941|119|30,14906,2026-06-10,3860,670,28941,10:00:00,10:00 am,27,119,30,Diamond Rbc Z,Jenna P. Friedman-Lopez,Jenna P. Friedman-Lopez,
28941|113|31,14906,2026-06-10,3860,670,28941,10:00:00,10:00 am,27,113,31,Arezzo Z,Juan M. Bolanos,Juan M. Bolanos,
29134|1565|1,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,1565,1,Diabolo De La Roque,Antonio J. Martinez,Antonio J. Martinez,
29134|1112|2,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,1112,2,Cavendish,Wilton J. Porter,Wilton J. Porter,
29134|3007|3,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,3007,3,Del’arkan,Ryan Baldwin,Debbie L. Mccarthy-Connor,
29134|1587|4,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,1587,4,Dominance Z,Captain Brian Cournane,Captain Brian Cournane,
29134|2952|5,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,2952,5,Glenara Chacco Dp,Brian Murphy,Brian Murphy,
29134|2934|6,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,2934,6,Jalanne,Jelmer Hoekstra,Jelmer Hoekstra,
29134|1700|7,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,1700,7,Chacoons Bellis Z,Todd D. Minikus,Todd D. Minikus,
29134|2362|8,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,2362,8,Constantin De Hus,John Michael Durr,John Michael Durr,
29134|1907|9,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,1907,9,Wild Kat,Jamie Alnwick,Scott Keach,
29134|2020|10,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,2020,10,Kannador,Clark Montgomery,Molly A. Kenney,
29134|1696|11,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,1696,11,Kinmar Candy Hero,Declan Egan,Declan Egan,
29134|1341|12,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,1341,12,Modena Lc,Juan J. Bancalari,Juan J. Bancalari,
29134|2124|13,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,2124,13,Spy,Paul O'Shea,Davide Troncanetti,
29134|2961|14,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,2961,14,Evolene De Carles,Vicente Guillen,Vicente Guillen,
29134|1784|15,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,1784,15,Storiall Blue,Stella Stinnett,Thea N. Stinnett,
29134|2185|16,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,2185,16,Inka Malpic,Rebecca Conway,Conan Conway,
29134|1919|17,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,1919,17,Carla,Selcuk Koksalan,Selcuk Koksalan,
29134|1995|18,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,1995,18,Camino Imperio Egípcio,Ali Arbabi,Sharn L. Wordley,
29134|1882|19,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,1882,19,Kara J D'alve Z,Alexandria Beneson,Thea N. Stinnett,
29134|1962|20,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,1962,20,Isla De Coco,Anne W. Eldridge,Lauren E. Hough,
29134|2174|21,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,2174,21,Komet 306,Antonio J. Martinez,Antonio J. Martinez,
29134|2094|22,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,2094,22,Gold Du Rouet,Taylor St Jacques,Andrew C. Welles,
29134|2367|23,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,2367,23,Khadiri,Jake Evans,Jake Evans,
29134|2081|24,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,2081,24,Rsk Quality Cruise,Khloe Kerins,Darragh Kerins,
29134|1225|25,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,1225,25,Cardline Kdw Z,Megan Wexler,Megan Wexler,
29134|1047|26,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,1047,26,Sandenal,Tanner Korotkin,Alan Korotkin,
29134|1181|27,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,1181,27,Kentucky N,Wilton J. Porter,Wilton J. Porter,
29134|2618|28,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,2618,28,Quina Blue Ps,Timothy Maddrix,Timothy Maddrix,
29134|2932|29,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,2932,29,Dakota Z,Jelmer Hoekstra,Jelmer Hoekstra,
29134|2875|30,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,2875,30,Kawir Ms,Jared P. Petersen,Jared P. Petersen,
29134|2880|31,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,2880,31,Valentine Car,Sharn L. Wordley,Sharn L. Wordley,
29134|1002|32,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,1002,32,Balou's Paul Ps,Diego Gaspar De Goes,Juan Benítez,
29134|1695|33,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,1695,33,I Jump D'authuit,Declan Egan,Declan Egan,
29134|2950|34,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,2950,34,Denison Park Combat,Elizabeth Schumann,Brian Murphy,
29134|2534|35,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,2534,35,Callisto De Fetan Z,Robert Mendoza,Robert Mendoza,
29134|1017|36,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,1017,36,Défi De La Roque,Juan Benítez,Juan Benítez,
29134|2617|37,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,2617,37,Istina Van De Kapel,Georgia Bouzaid,David Cameron,
29134|1323|38,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,1323,38,Uncle John’s Band,Camille Maynard,Camille Maynard,
29134|2189|39,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,2189,39,Indianapolis,Ivy Nyberg,Ivy Nyberg,
29134|1916|40,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,1916,40,Hhf Levison's Pride,Bryce P. Richardson,Bryce P. Richardson,
29134|2566|41,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,2566,41,Tough Enough,Spencer Brittan,Spencer Brittan,
29134|2157|42,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,2157,42,Streya,Jacqueline Steffens Daly,Jacqueline Steffens Daly,
29134|1574|43,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,1574,43,Valdes,Antonio J. Martinez,Antonio J. Martinez,
29134|2864|44,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,2864,44,Dominator Touch Z,Kalli Core,Bobby Boulger,
29134|2027|45,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,2027,45,Lagegonda Fz,Clark Montgomery,Clark Montgomery,
29134|1837|46,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,1837,46,Os Quincy,Rebecca Warth,Rebecca Warth,
29134|1649|47,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,1649,47,Chacoons Gisa Blue Z,Kyle Dewar,Kyle Dewar,
29134|3008|48,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,3008,48,Mon-Ami,Debbie L. Mccarthy-Connor,Debbie L. Mccarthy-Connor,
29134|2955|49,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,2955,49,Cameron 38,Jamie M. Stryker,Kirk Webby,
29134|1182|50,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,1182,50,Lupina Colada,Wilton J. Porter,Wilton J. Porter,
29134|2874|51,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,2874,51,Dropshot Z,Jordan Petersen,Jared P. Petersen,
29134|1086|52,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,1086,52,It Is West,Rebecca Conway,Conan Conway,
29134|1035|53,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,1035,53,Ideal,Grace Lyons,Alan Korotkin,
29134|2292|54,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,2292,54,Icarus,Declan Egan,Declan Egan,
29134|2879|55,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,2879,55,Mick Jagger,Sharn L. Wordley,Sharn L. Wordley,
29134|1709|56,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,1709,56,Headleys Kinetic,Anne L. Bingler,Anne L. Bingler,
29134|1044|57,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,1044,57,Peridoni 20,Elisabeth Rotsaert,Alan Korotkin,
29134|1996|58,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,1996,58,Thor Jr,Ali Arbabi,Sharn L. Wordley,
29134|1038|59,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,1038,59,Kindly,Tanner Korotkin,Alan Korotkin,
29134|1742|60,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,1742,60,Mason,Aidan Murphy,Candice King,
29134|1223|61,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,1223,61,Ledoux,Megan Wexler,Megan Wexler,
29134|1684|62,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,1684,62,Gelano,Jessica Collins,Jessica Collins,
29134|1481|63,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,1481,63,Limerick,Taylor Manning,Taylor Manning,
29134|1567|64,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,1567,64,Octavius Scf,Antonio J. Martinez,Antonio J. Martinez,
29134|1066|65,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,1066,65,Lufrieda Vdl,Clara Vidal,Daniela Roy,
29134|1037|66,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,1037,66,Insider Bh,Victoria Rotsaert,Alan Korotkin,
29134|2132|67,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,2132,67,Goliath,Addison Reed,Addison Reed,
29134|2953|68,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,2953,68,Ivanhoe,Elizabeth Schumann,Brian Murphy,
29134|2931|69,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,2931,69,Bellissima Dh Z,Jelmer Hoekstra,Jelmer Hoekstra,
29134|2394|70,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,2394,70,Bambina,Elin Mossberg,Patrick R. Wilcher,
29172|2135|1,14906,2026-06-10,3860,670,29172,14:45:00,2:45 pm,28,2135,1,Orisco,Addison Reed,Addison Reed,
29172|1246|2,14906,2026-06-10,3860,670,29172,14:45:00,2:45 pm,28,1246,2,Redbull 33 Vdh,Brittni A. Raflowitz,Brittni A. Raflowitz,
29172|2199|3,14906,2026-06-10,3860,670,29172,14:45:00,2:45 pm,28,2199,3,Tobias Van Kreyel Mc,Lauren Balcomb,Sharn L. Wordley,
29172|1334|4,14906,2026-06-10,3860,670,29172,14:45:00,2:45 pm,28,1334,4,Classical Touch,Juan M. Bolanos,Juan M. Bolanos,
29172|3046|5,14906,2026-06-10,3860,670,29172,14:45:00,2:45 pm,28,3046,5,Dolittle 32,Bruno Diniz Das Neves,Bruno Diniz Das Neves,
29172|1462|6,14906,2026-06-10,3860,670,29172,14:45:00,2:45 pm,28,1462,6,Pavarotti Van De Schutskooi,Cormac Hanley,Thea N. Stinnett,
29172|2463|7,14906,2026-06-10,3860,670,29172,14:45:00,2:45 pm,28,2463,7,Eq Scorpio,Diego Farje,Sharn L. Wordley,
29172|1831|8,14906,2026-06-10,3860,670,29172,14:45:00,2:45 pm,28,1831,8,Umtiti Van De Barlebuis,Lia Screnci,Lia Screnci,
29172|2635|9,14906,2026-06-10,3860,670,29172,14:45:00,2:45 pm,28,2635,9,Tugano Van Klapscheut,Addison Reed,Raishun Burch,
29172|2713|10,14906,2026-06-10,3860,670,29172,14:45:00,2:45 pm,28,2713,10,Superman Eh,Juan E. Hidalgo,Juan E. Hidalgo,
29172|1787|11,14906,2026-06-10,3860,670,29172,14:45:00,2:45 pm,28,1787,11,Tarantino De Rie,Robert Mendoza,Hanna Pieri,
29172|1449|12,14906,2026-06-10,3860,670,29172,14:45:00,2:45 pm,28,1449,12,Curacao D'elsendam Z,Taylor St Jacques,Taylor St Jacques,
29172|2204|13,14906,2026-06-10,3860,670,29172,14:45:00,2:45 pm,28,2204,13,5o1 Stakkatol's Dream,Jacob Fletcher,Jacob Fletcher,
29172|1923|14,14906,2026-06-10,3860,670,29172,14:45:00,2:45 pm,28,1923,14,Olaf,Selcuk Koksalan,Selcuk Koksalan,
29172|1327|15,14906,2026-06-10,3860,670,29172,14:45:00,2:45 pm,28,1327,15,Online,Clark Montgomery,Clark Montgomery,
29172|1993|16,14906,2026-06-10,3860,670,29172,14:45:00,2:45 pm,28,1993,16,Copperfield Ghv Z,Molly Frei,Sven Frei,
29172|2133|17,14906,2026-06-10,3860,670,29172,14:45:00,2:45 pm,28,2133,17,O'Malley Rfb,Addison Reed,Addison Reed,
29172|2320|18,14906,2026-06-10,3860,670,29172,14:45:00,2:45 pm,28,2320,18,Mtm Good Question,Tracy Fenney,Michael J. Mccormick,
29172|1296|19,14906,2026-06-10,3860,670,29172,14:45:00,2:45 pm,28,1296,19,Calou Us,Tanner Korotkin,Alan Korotkin,
