ring,ring_no,ring_day_no,class_order,class_no,class_label,class_number,class_payout,class_name,entry_order,entry_no,horse,rider,trainer,source
,684,,,29128,,,,,50,2822,Chabluevara Ps,Ryan Michael Genn,Ryan Michael Genn,class_oog.php
,684,,,29128,,,,,51,2823,Conlando 55,John M. Struzzieri,Ryan Michael Genn,class_oog.php
,684,,,29128,,,,,52,2846,KS Barbie,Maleah Lang Mcmahon,Maleah Lang Mcmahon,class_oog.php
,684,,,29128,,,,,53,2873,Comme II Reality,Elizabeth Solomon,Elizabeth Solomon,class_oog.php
,684,,,29128,,,,,54,2885,Official First Hj Z,Ryan Michael Genn,Ryan Michael Genn,class_oog.php
,684,,,29128,,,,,55,2929,Kaytaro,Declan Egan,Declan Egan,class_oog.php
,684,,,29128,,,,,56,2982,Cylano,Savannah Groselle,Savannah Groselle,class_oog.php
,684,,,29128,,,,,57,2993,Delando De St Leger,Dorothy Douglas,Jelmer Hoekstra,class_oog.php
,684,,,29128,,,,,58,2997,Qatar,Hector Florentino,Hector Florentino,class_oog.php
,684,,,29128,,,,,59,3016,Dorado Sdn,Cooper Beisel,Ben Taylor,class_oog.php
,684,,,29128,,,,,60,3051,Undercover,Staisha Connors,Michael Connors,class_oog.php
,684,,,29131,,,,,1,1035,Ideal,Grace Lyons,Alan Korotkin,class_oog.php
,684,,,29131,,,,,2,1075,Chris B,Hector Florentino,Benjamin J. Meredith,class_oog.php
,684,,,29131,,,,,3,1275,Norton Vdl,Abby Grabowski,Ben Taylor,class_oog.php
,684,,,29131,,,,,4,1455,Phoenix Air,Lanie Nash,Dawn Hersey,class_oog.php
,684,,,29131,,,,,5,1569,Rondalla Ls,Antonio J. Martinez,Antonio J. Martinez,class_oog.php
,684,,,29131,,,,,6,1593,Vdl Nevena,Belen Guarderas,Juan M. Bolanos,class_oog.php
,684,,,29131,,,,,7,1661,Major,Kyle Dewar,Kyle Dewar,class_oog.php
,684,,,29131,,,,,8,1709,Headleys Kinetic,Anne L. Bingler,Anne L. Bingler,class_oog.php
,684,,,29131,,,,,9,1768,Mistigrise Du Seigneur,Robert Mendoza,Robert Mendoza,class_oog.php
,684,,,29131,,,,,10,1843,Accelerator,Fabian Herrera,Fabian Herrera,class_oog.php
,684,,,29131,,,,,11,1880,Poliana Van Op De Berg,Alberto Sarmiento,Juan M. Bolanos,class_oog.php
,684,,,29131,,,,,12,1910,Mtm Cascadela,Evana Somareddy,Heather Dayner,class_oog.php
,684,,,29131,,,,,13,2091,Cismet 4,Andrew C. Welles,Andrew C. Welles,class_oog.php
,684,,,29131,,,,,14,2181,Chaning Tatum,Robert Mendoza,Samantha Mccleerey,class_oog.php
,684,,,29131,,,,,15,2569,Night Light,Hanna R. Egan,Hanna R. Egan,class_oog.php
,684,,,29131,,,,,16,2719,Nobeltje,Amanda Gomez,Pamela Gomez,class_oog.php
,684,,,29131,,,,,17,2731,Picar,Mario Garcia,Mario Garcia,class_oog.php
,684,,,29131,,,,,18,2876,Ewsz Omega,Gonzalo Guevara,Gonzalo Guevara,class_oog.php
,684,,,29131,,,,,19,2932,Dakota Z,Jelmer Hoekstra,Jelmer Hoekstra,class_oog.php
,684,,,29131,,,,,20,2956,Cornetta Lazar,Kirk Webby,Kirk Webby,class_oog.php
,684,,,29131,,,,,21,3011,Guibet P,Amanda Gomez,Pamela Gomez,class_oog.php
,684,,,29131,,,,,22,3035,Cooley Elusive,Tom Monaghan,Tom Monaghan,class_oog.php
,684,,,29131,,,,,23,3037,Malmo 54,Tom Monaghan,Tom Monaghan,class_oog.php
,684,,,29169,,,,,1,1104,Hallmark Hpf,Hector Florentino,Benjamin J. Meredith,class_oog.php
,684,,,29169,,,,,2,1215,Temptation V/H Haringvliet Z,Jodie Camberg,Megan Wexler,class_oog.php
,684,,,29169,,,,,3,1273,Mucksmaeuschenstill,Aaron Vale,Ben Taylor,class_oog.php
,684,,,29169,,,,,4,1452,Onyx,Taylor St Jacques,Taylor St Jacques,class_oog.php
,684,,,29169,,,,,5,1460,Cognac Vh Gebergte Z,Cormac Hanley,Thea N. Stinnett,class_oog.php
,684,,,29169,,,,,6,1592,Oakland,Belen Guarderas,Juan M. Bolanos,class_oog.php
,684,,,29169,,,,,7,1705,Pi-Air,Riley Delbecq,Todd D. Minikus,class_oog.php
,684,,,29169,,,,,8,1735,Cachaca Pitu Lhf,Marcus Gruenthal,Marcus Gruenthal,class_oog.php
,684,,,29169,,,,,9,1743,Tillman,Aidan Murphy,Candice King,class_oog.php
,684,,,29169,,,,,10,1745,Oa Uno Mas Cerveza,Madison Rose,Madison Rose,class_oog.php
,684,,,29169,,,,,11,1786,Lyonheart,Robert Mendoza,Hanna Pieri,class_oog.php
,684,,,29169,,,,,12,1787,Tarantino De Rie,Robert Mendoza,Hanna Pieri,class_oog.php
,684,,,29169,,,,,13,1902,Born To Be Wild,Jamie Alnwick,Scott Keach,class_oog.php
,684,,,29169,,,,,14,1993,Copperfield Ghv Z,Molly Frei,Sven Frei,class_oog.php
,684,,,29169,,,,,15,2036,Diablue Sh Z,Jared P. Petersen,Jared P. Petersen,class_oog.php
,684,,,29169,,,,,16,2069,Bizzy Sh,Jordan Petersen,Jared P. Petersen,class_oog.php
,684,,,29169,,,,,17,2360,Cassaderra Na,Taryn M. Adamy,Taryn M. Adamy,class_oog.php
,684,,,29169,,,,,18,2633,Dimazzo,Leah Lang-Gluscic,Leah Lang-Gluscic,class_oog.php
,684,,,29169,,,,,19,2866,Kateri,Kalli Core,Bobby Boulger,class_oog.php
,684,,,29169,,,,,20,2881,Don Cor Z,Ryan Michael Genn,Ryan Michael Genn,class_oog.php
,684,,,29169,,,,,21,2960,Dracko Van Het Vinckenhof Z,Vicente Guillen,Vicente Guillen,class_oog.php
,684,,,29166,,,,,1,1021,Rover,Kelly Prather,Michael K. Kennedy,class_oog.php
,684,,,29166,,,,,2,1257,Avalanche,Mallory Vale,Ben Taylor,class_oog.php
,684,,,29166,,,,,3,1263,Eliott Dz,Aaron Vale,Ben Taylor,class_oog.php
,684,,,29166,,,,,4,1277,Reelz,Mallory Vale,Ben Taylor,class_oog.php
,684,,,29166,,,,,5,1513,Ck’s Superman,Libby Woodworth,Stephen Dicarlo,class_oog.php
,684,,,29166,,,,,6,1707,Ally Z,Anne L. Bingler,Anne L. Bingler,class_oog.php
,684,,,29166,,,,,7,1757,Frodo,River A. Wylde,River A. Wylde,class_oog.php
,684,,,29166,,,,,8,1793,Comme Il Hero Z,Matthew Le Master,Matthew Le Master,class_oog.php
,684,,,29166,,,,,9,2003,Ancelotti,Ashley Romano,Ashley Romano,class_oog.php
,684,,,29166,,,,,10,2073,Ballyheerin Belle Jorado,Sarah Kerins,Darragh Kerins,class_oog.php
,684,,,29166,,,,,11,2080,P-Capitola,Sarah Kerins,Darragh Kerins,class_oog.php
,684,,,29166,,,,,12,2153,Dulce,Andres A. Correa,Andres A. Correa,class_oog.php
,684,,,29166,,,,,13,2162,Paulownia,Josh Dolan,Josh Dolan,class_oog.php
,684,,,29166,,,,,14,2341,Diamant's Invincible Na,Jared P. Petersen,Derek Petersen,class_oog.php
,684,,,29166,,,,,15,2360,Cassaderra Na,Taryn M. Adamy,Taryn M. Adamy,class_oog.php
,684,,,29166,,,,,16,2707,Voila Bbf,Hayley G. Waters Wear,Dana G. Waters,class_oog.php
,684,,,29166,,,,,17,2708,Volcano Bbf,Hayley G. Waters Wear,Dana G. Waters,class_oog.php
,684,,,29166,,,,,18,2836,Forseti,Ben Taylor,Ben Taylor,class_oog.php
,684,,,29166,,,,,19,2884,Karma,Ryan Michael Genn,Ryan Michael Genn,class_oog.php
,684,,,29166,,,,,20,2946,Calderon T,Andras Szieberth,Andras Szieberth,class_oog.php
,684,,,29166,,,,,21,2963,Diadora,Jordan Petersen,Jared P. Petersen,class_oog.php
,684,,,29166,,,,,22,2996,Maleficent Ht,Hector Florentino,Benjamin J. Meredith,class_oog.php
,684,,,29166,,,,,23,3049,Donna Lucardie Z,Francesca Chiatti,Anna Christina Gansauer,class_oog.php
,683,,,29394,,,,,1,1263,Eliott Dz,Aaron Vale,Ben Taylor,class_oog.php
,683,,,29394,,,,,2,1268,Invictus,Aaron Vale,Ben Taylor,class_oog.php
,683,,,29394,,,,,3,1293,Getthe Muny Bernie,Carrie Riddle,Lindsay Barrack,class_oog.php
,683,,,29394,,,,,4,1297,La La Land,Christina Faninger,Alan Korotkin,class_oog.php
,683,,,29394,,,,,5,1298,Pays Bas V,Sophie Smith,Morgan Taylor,class_oog.php
,683,,,29394,,,,,6,1343,Pedro Molino,Kristen Litteken,Juan M. Bolanos,class_oog.php
,683,,,29394,,,,,7,1437,Balencia,Stella Gavin,Matthew Le Master,class_oog.php
,683,,,29394,,,,,8,1465,Norelien,Maya Allhusen,Mario Garcia,class_oog.php
,683,,,29394,,,,,9,1480,Ameko Chaccord,Taylor Manning,Taylor Manning,class_oog.php
,683,,,29394,,,,,10,1591,Irish Coffee Vhl,Iliana Palumbo,Alan Korotkin,class_oog.php
,683,,,29394,,,,,11,1598,Sublime,Sophie Smith,Morgan Taylor,class_oog.php
,683,,,29394,,,,,12,1775,Once Upon A Time,Alyson Jones,Kim Taylor,class_oog.php
,683,,,29394,,,,,13,1883,Untouchable's Unique,Dominic Arnold,Alyssa Venn,class_oog.php
,683,,,29394,,,,,14,2156,Lady Roxy,Suzanne Burns,Jacqueline Steffens Daly,class_oog.php
,683,,,29394,,,,,15,2177,Ata Fe Dulce,Lyla Roberts,Mario Garcia,class_oog.php
,683,,,29394,,,,,16,2375,Sylvester Ter Linden,Lynde Johnson,August Torsilieri,class_oog.php
,683,,,29394,,,,,17,2405,Billy Suffragette,Emerson Ritter,Morgan Taylor,class_oog.php
,683,,,29394,,,,,18,2543,Billy Snowdonia,Camille Maynard,Camille Maynard,class_oog.php
,683,,,29394,,,,,19,2803,Kanai,Addison Reed,Addison Reed,class_oog.php
,683,,,29394,,,,,20,2834,Hercules,Maya Allhusen,Mario Garcia,class_oog.php
,683,,,29394,,,,,21,2877,Big Castle,Shannon Y. Clifford,Shannon Y. Clifford,class_oog.php
,683,,,29394,,,,,22,2882,Crush,Scott Diffey,Scott Diffey,class_oog.php
,683,,,29394,,,,,23,2970,Fe Crack The Code,Amanda Gardiner,Megan Gardiner,class_oog.php
,683,,,29394,,,,,24,3039,Billy Adorable,Sophie Smith,Morgan Taylor,class_oog.php
,683,,,29159,,,,,1,1003,Daizi De Beaufour,Rita de Goes,Juan Benítez,class_oog.php
,683,,,29159,,,,,2,1043,Markanto A,Tanner Korotkin,Alan Korotkin,class_oog.php
,683,,,29159,,,,,3,1096,Cold Play,Isaac Leffkowitz,Isaac Leffkowitz,class_oog.php
,683,,,29159,,,,,4,1102,Talk About Me,Violetta Bergonzoli,Morgan Taylor,class_oog.php
,683,,,29159,,,,,5,1145,Cecile S,Alicia Taylor,Stephen Dicarlo,class_oog.php
,683,,,29159,,,,,6,1201,Contika 46,Kacey Conway,Kacey Conway,class_oog.php
,683,,,29159,,,,,7,1248,Ciemusic Z,Kathryn Camunas,Erica Robson,class_oog.php
,683,,,29159,,,,,8,1278,Remus Van't Merelsnest,Sophia Ayers,Ben Taylor,class_oog.php
,683,,,29159,,,,,9,1326,The Getaway Car,Lanie Nash,Dawn Hersey,class_oog.php
,683,,,29159,,,,,10,1439,Il Dolce,Lauren Flesher,Matthew Le Master,class_oog.php
,683,,,29159,,,,,11,1454,Mr Dw,Lanie Nash,Dawn Hersey,class_oog.php
,683,,,29159,,,,,12,1480,Ameko Chaccord,Taylor Manning,Taylor Manning,class_oog.php
,683,,,29159,,,,,13,1516,Grandia,Bowers A. Cone,Stephen Dicarlo,class_oog.php
,683,,,29159,,,,,14,1685,Hh Hyyerr Calling,Jessica Collins,Jessica Collins,class_oog.php
,683,,,29159,,,,,15,1769,Nevada Vdl,Robert Mendoza,Robert Mendoza,class_oog.php
,683,,,29159,,,,,16,1777,Bz Cancara,Antonio J. Martinez,Antonio J. Martinez,class_oog.php
,683,,,29159,,,,,17,1778,Lisdeen Lady Kvj,Antonio J. Martinez,Antonio J. Martinez,class_oog.php
,683,,,29159,,,,,18,1795,Mazatlan Ps,Violetta Bergonzoli,Morgan Taylor,class_oog.php
,683,,,29159,,,,,19,1866,Mckenzie Z,Celso Ariani,Celso Ariani,class_oog.php
,683,,,29159,,,,,20,1867,Orindus W,Celso Ariani,Celso Ariani,class_oog.php
,683,,,29159,,,,,21,1932,Florian,Windsor Ryan,Traci A. Weston,class_oog.php
,683,,,29159,,,,,22,1982,Herakles,Izabella Mcnerney,Izabella Mcnerney,class_oog.php
,683,,,29159,,,,,23,2107,Mary J,Isaac Leffkowitz,Isaac Leffkowitz,class_oog.php
,683,,,29159,,,,,24,2142,Bellefleur Z,Carson L. Ruff,Carson L. Ruff,class_oog.php
,683,,,29159,,,,,25,2144,U Amon Z,Paul O'Shea,Carson L. Ruff,class_oog.php
,683,,,29159,,,,,26,2148,Elle Woods,Kimberly Tobias,Abby Strohmeyer,class_oog.php
,683,,,29159,,,,,27,2149,Ferris Bueller,Kimberly Tobias,Abby Strohmeyer,class_oog.php
,683,,,29159,,,,,28,2154,Enzo Ferrari,Andres A. Correa,Andres A. Correa,class_oog.php
,683,,,29159,,,,,29,2179,Nice Cool De Virton,Paul O'Shea,Kaileigh Brandt,class_oog.php
,683,,,29159,,,,,30,2187,En Vogue,Maddison Stephen,David Cameron,class_oog.php
,683,,,29159,,,,,31,2200,Chagrandino Ps,Luciano Dome,Luciano Dome,class_oog.php
,683,,,29159,,,,,32,2290,Castello Z,Declan Egan,Declan Egan,class_oog.php
,683,,,29159,,,,,33,2293,Miss Cranny Sarco,Declan Egan,Declan Egan,class_oog.php
,683,,,29159,,,,,34,2521,Excel Star Fair Play,Alexandra Hird,August Torsilieri,class_oog.php
,683,,,29159,,,,,35,2523,Lugano,Liliana Nora Menesi,August Torsilieri,class_oog.php
,683,,,29159,,,,,36,2559,Dee Dee Gz,Samantha Fields,Spencer Brittan,class_oog.php
,683,,,29159,,,,,37,2562,Inlaws Manolo,Spencer Brittan,Spencer Brittan,class_oog.php
,683,,,29159,,,,,38,2667,Calypso,Josephine Demmo,Alan Korotkin,class_oog.php
,683,,,29159,,,,,39,2728,Wingardium Leviosa KS,Dominic Arnold,Alyssa Venn,class_oog.php
,683,,,29159,,,,,40,2793,Ibalia,Eva Bernstein,Matt Martin,class_oog.php
,683,,,29159,,,,,41,2803,Kanai,Kelly Kiser,Addison Reed,class_oog.php
,683,,,29159,,,,,42,2825,Kereen Cobra,Kitt Ritter,Ryan Michael Genn,class_oog.php
,683,,,29159,,,,,43,2837,Carmenzita,Antonio J. Martinez,Antonio J. Martinez,class_oog.php
,683,,,29159,,,,,44,2840,Gabriella T,Mary Collier Pope,Andras Szieberth,class_oog.php
,683,,,29159,,,,,45,2970,Fe Crack The Code,Amanda Gardiner,Megan Gardiner,class_oog.php
,683,,,29159,,,,,46,2984,Vdl Escape Z,Savannah Groselle,Savannah Groselle,class_oog.php
,683,,,29159,,,,,47,3009,Coby Z,Jenna P. Friedman-Lopez,Jenna P. Friedman-Lopez,class_oog.php
,683,,,29125,,,,,1,1293,Getthe Muny Bernie,Carrie Riddle,Lindsay Barrack,class_oog.php
,683,,,29125,,,,,2,2877,Big Castle,Shannon Y. Clifford,Shannon Y. Clifford,class_oog.php
,683,,,29161,,,,,1,1074,Caballa Ps,Hector Florentino,Benjamin J. Meredith,class_oog.php
,683,,,29161,,,,,2,1088,Titan,Mckenzie Miller,Conan Conway,class_oog.php
,683,,,29161,,,,,3,1266,Hopeful Z,Sophia Ayers,Ben Taylor,class_oog.php
,683,,,29161,,,,,4,1272,Mtm Anonymous Z,Aaron Vale,Ben Taylor,class_oog.php
,683,,,29161,,,,,5,1279,Samba Do Brasil,Aaron Vale,Ben Taylor,class_oog.php
,683,,,29161,,,,,6,1326,The Getaway Car,Lanie Nash,Dawn Hersey,class_oog.php
,683,,,29161,,,,,7,1442,Rr Monster,Mckenzie Badley,Matthew Le Master,class_oog.php
,683,,,29161,,,,,8,1485,Roncevert,Lanie Nash,Dawn Hersey,class_oog.php
,683,,,29161,,,,,9,1508,Guerrera,Dakota Sheikh,Mario Garcia,class_oog.php
,683,,,29161,,,,,10,1645,Comedian Of Picobello Z,Sebastian Presa Tejada,Juan A. Rodriguez Silva,class_oog.php
,683,,,29161,,,,,11,1646,Con Sol,Nicole Presa Tejada,Juan A. Rodriguez Silva,class_oog.php
,683,,,29161,,,,,12,1706,Airway Semilly,Ella Walker,Anne L. Bingler,class_oog.php
,683,,,29161,,,,,13,1744,Diatoon Blue Ps,Madison Rose,Madison Rose,class_oog.php
,683,,,29161,,,,,14,1776,Lavei,Alyson Jones,Kim Taylor,class_oog.php
,683,,,29161,,,,,15,1794,Chico Bella Z,Lily Niebur,Louise Pejstrup,class_oog.php
,683,,,29161,,,,,16,2072,O'Quality Z,Kyle Dewar,Kyle Dewar,class_oog.php
,683,,,29161,,,,,17,2187,En Vogue,Maddison Stephen,David Cameron,class_oog.php
,683,,,29161,,,,,18,2389,Fanfan Boy,Tanner Korotkin,Alan Korotkin,class_oog.php
,683,,,29161,,,,,19,2521,Excel Star Fair Play,Alexandra Hird,August Torsilieri,class_oog.php
,683,,,29161,,,,,20,2532,Solaguayre Chaquensi,Gianni Gabrielli,Gianni Gabrielli,class_oog.php
,683,,,29161,,,,,21,2563,Itoulon B,Spencer Brittan,Spencer Brittan,class_oog.php
,683,,,29161,,,,,22,2564,Larcelo,Spencer Brittan,Spencer Brittan,class_oog.php
,683,,,29161,,,,,23,2822,Chabluevara Ps,Ryan Michael Genn,Ryan Michael Genn,class_oog.php
,683,,,29161,,,,,24,2836,Forseti,Ben Taylor,Ben Taylor,class_oog.php
,683,,,29161,,,,,25,2946,Calderon T,Andras Szieberth,Andras Szieberth,class_oog.php
,683,,,29161,,,,,26,2985,Vdl Masque-Unea,Savannah Groselle,Savannah Groselle,class_oog.php
,683,,,29161,,,,,27,2987,Million's Crack Ki,Ana Elena Armas,Luciano Dome,class_oog.php
,683,,,29161,,,,,28,2994,Stapleton Asha,Lilly Mack,Dennis Mitchell,class_oog.php
,683,,,29161,,,,,29,2998,Granslam De Lezellec,Lilly Mack,Dennis Mitchell,class_oog.php
,683,,,29161,,,,,30,3001,Kilenka Gl,Alyssa Amberge,Alyssa Amberge,class_oog.php
,683,,,29161,,,,,31,3047,Jasmin De L’abbaye,Gianni Gabrielli,Gianni Gabrielli,class_oog.php
,683,,,29451,,,,,1,1319,High Time,Anne C. Hormel,Camille Maynard,class_oog.php
,683,,,29451,,,,,2,1424,Arthur,Stefano Baruzzo,Stefano Baruzzo,class_oog.php
,683,,,29451,,,,,3,1441,Princeton Mk,Matthew Le Master,Matthew Le Master,class_oog.php
,683,,,29451,,,,,4,1589,Kali,Mireya Godoy,Juan M. Bolanos,class_oog.php
,683,,,29451,,,,,5,1737,Vienna Van't Kiezelhof Lhf,Marcus Gruenthal,Marcus Gruenthal,class_oog.php
,683,,,29451,,,,,6,1763,Dominic Toretto,Ashlee Bond,Ashlee Bond,class_oog.php
,683,,,29451,,,,,7,2079,Orange Blossom Na,Sarah Kerins,Darragh Kerins,class_oog.php
,683,,,29451,,,,,8,2884,Karma,Ryan Michael Genn,Ryan Michael Genn,class_oog.php
,683,,,29451,,,,,9,3040,Olivia Ve,Anthony Sauriol,Anthony Sauriol,class_oog.php
,683,,,29451,,,,,10,3048,Conchacco Ps,Alyssa Pascucci,Alyssa Pascucci,class_oog.php
,683,,,29451,,,,,11,3049,Donna Lucardie Z,Francesca Chiatti,Anna Christina Gansauer,class_oog.php
,683,,,29433,,,,,1,1106,Naomi Hpf,Hector Florentino,Benjamin J. Meredith,class_oog.php
,683,,,29433,,,,,2,1247,Captain Marvel CF,Erica Robson,Erica Robson,class_oog.php
,683,,,29433,,,,,3,1435,Hellcat,Megan O'Brien,Megan O'Brien,class_oog.php
,683,,,29433,,,,,4,1480,Ameko Chaccord,Taylor Manning,Taylor Manning,class_oog.php
,683,,,29433,,,,,5,1726,As You Are,Miro Frey,Stephanie Frey,class_oog.php
,683,,,29433,,,,,6,2340,Penelope De La Fresnière,Luke Sassi,Luke Sassi,class_oog.php
,683,,,29433,,,,,7,2431,Virgules Balou Van 'T Neerhof,Alexandra Goetze Bell,Alexandra Goetze Bell,class_oog.php
,683,,,29433,,,,,8,2930,Miracle Van De Beiaard Z,Declan Egan,Declan Egan,class_oog.php
,683,,,29433,,,,,9,2949,Nadia I,Andras Szieberth,Andras Szieberth,class_oog.php
,683,,,29433,,,,,10,2954,Dropshot Z,Paige Jones,Dominique H. Damico,class_oog.php
,683,,,29433,,,,,11,2968,Anthem L.a. Z,Luciano Dome,Luciano Dome,class_oog.php
,683,,,29433,,,,,12,3015,6-7,Kinser Vale,Ben Taylor,class_oog.php
,683,,,29433,,,,,13,3045,Hpf Melania,Francisco Vaca,Shannon Y. Clifford,class_oog.php
,683,,,29433,,,,,14,3049,Donna Lucardie Z,Francesca Chiatti,Anna Christina Gansauer,class_oog.php
,675,,,33493,,,,,1,1082,Skat 15,Laura Linback,Troy Linback,class_oog.php
,675,,,33493,,,,,2,1790,Cataumet,Lauren Schweppe,Lauren Schweppe,class_oog.php
,675,,,33493,,,,,3,1854,Keira Usa,Madison Wayda Smith,Kyle Dewar,class_oog.php
,675,,,33493,,,,,4,2827,Lord Carlino,Alexandra Hird,August Torsilieri,class_oog.php
,675,,,33493,,,,,5,3005,Kilmastulla Quality Touch,Seanna Reser,Stacey L. Reser,class_oog.php
,675,,,33493,,,,,6,3018,Corzico Melloni Z,Dorothy Douglas,Jelmer Hoekstra,class_oog.php
,675,,,33494,,,,,1,1082,Skat 15,Laura Linback,Troy Linback,class_oog.php
,675,,,33494,,,,,2,1790,Cataumet,Lauren Schweppe,Lauren Schweppe,class_oog.php
,675,,,33494,,,,,3,1854,Keira Usa,Madison Wayda Smith,Kyle Dewar,class_oog.php
,675,,,33494,,,,,4,2827,Lord Carlino,Alexandra Hird,August Torsilieri,class_oog.php
,675,,,33494,,,,,5,3005,Kilmastulla Quality Touch,Seanna Reser,Stacey L. Reser,class_oog.php
,675,,,33494,,,,,6,3018,Corzico Melloni Z,Dorothy Douglas,Jelmer Hoekstra,class_oog.php
,675,,,29071,,,,,1,1031,Hurricane,Carsyn Korotkin,Alan Korotkin,class_oog.php
,675,,,29071,,,,,2,1183,Mastermind,Naomi Selleck,Alan Korotkin,class_oog.php
,675,,,29071,,,,,3,1555,Katch Can-Do,Olivia Israel,Jenny Miller,class_oog.php
,675,,,29071,,,,,4,1564,Mtm Silhouette,Bowers A. Cone,Stephen Dicarlo,class_oog.php
,675,,,29071,,,,,5,1749,Coffee,Kirsten L. Malacarne,George J. Bessette,class_oog.php
,675,,,29071,,,,,6,1846,Carlos He’las,Evana Somareddy,Heather Dayner,class_oog.php
,675,,,29071,,,,,7,1876,Churchill Blue,Dorothy Douglas,Tara G. Bostwick,class_oog.php
,675,,,29071,,,,,8,2361,Casuall,John Michael Durr,John Michael Durr,class_oog.php
,675,,,29071,,,,,9,2383,A La Quattro S,Vivian Heyer,August Torsilieri,class_oog.php
,675,,,29071,,,,,10,2542,Sunkist,Timothy Maddrix,Terry L. Brown,class_oog.php
,675,,,29071,,,,,11,2720,Espresso,Molly Frei,Sven Frei,class_oog.php
,675,,,29071,,,,,12,3022,Netezwiggy Vd Watermolen,Dorothy Douglas,Jelmer Hoekstra,class_oog.php
,675,,,29072,,,,,1,1031,Hurricane,Carsyn Korotkin,Alan Korotkin,class_oog.php
,675,,,29072,,,,,2,1183,Mastermind,Naomi Selleck,Alan Korotkin,class_oog.php
,675,,,29072,,,,,3,1555,Katch Can-Do,Olivia Israel,Jenny Miller,class_oog.php
,675,,,29072,,,,,4,1564,Mtm Silhouette,Bowers A. Cone,Stephen Dicarlo,class_oog.php
,675,,,29072,,,,,5,1576,Cadenza,Kelsey Duffy,Kelsey Duffy,class_oog.php
,675,,,29072,,,,,6,1749,Coffee,Kirsten L. Malacarne,George J. Bessette,class_oog.php
,675,,,29072,,,,,7,1846,Carlos He’las,Evana Somareddy,Heather Dayner,class_oog.php
,675,,,29072,,,,,8,1876,Churchill Blue,Reagan Williams,Tara G. Bostwick,class_oog.php
,675,,,29072,,,,,9,2361,Casuall,John Michael Durr,John Michael Durr,class_oog.php
,675,,,29072,,,,,10,2383,A La Quattro S,Vivian Heyer,August Torsilieri,class_oog.php
,675,,,29072,,,,,11,2542,Sunkist,Timothy Maddrix,Terry L. Brown,class_oog.php
,675,,,29072,,,,,12,2720,Espresso,Molly Frei,Sven Frei,class_oog.php
,675,,,29072,,,,,13,3022,Netezwiggy Vd Watermolen,Dorothy Douglas,Jelmer Hoekstra,class_oog.php
,675,,,29297,,,,,1,1576,Cadenza,Kelsey Duffy,Kelsey Duffy,class_oog.php
,675,,,29297,,,,,2,1760,Pistachio,Stephanie Frey,Stephanie Frey,class_oog.php
,675,,,29297,,,,,3,2182,Outlaw,Isabella Agliano,Robert P. Stucky,class_oog.php
,675,,,29297,,,,,4,2329,Mtm Rico Suave,Tracy Fenney,Michael J. Mccormick,class_oog.php
,675,,,29297,,,,,5,2720,Espresso,Molly Frei,Sven Frei,class_oog.php
,675,,,29297,,,,,6,2867,Chef Special,Tracy Fenney,Michael J. Mccormick,class_oog.php
,675,,,29297,,,,,7,2927,Dexter,Jake Evans,Jake Evans,class_oog.php
,675,,,29297,,,,,8,3022,Netezwiggy Vd Watermolen,Dorothy Douglas,Jelmer Hoekstra,class_oog.php
,675,,,29298,,,,,1,1576,Cadenza,Kelsey Duffy,Kelsey Duffy,class_oog.php
,675,,,29298,,,,,2,1760,Pistachio,Stephanie Frey,Stephanie Frey,class_oog.php
,675,,,29298,,,,,3,2182,Outlaw,Isabella Agliano,Robert P. Stucky,class_oog.php
,675,,,29298,,,,,4,2329,Mtm Rico Suave,Tracy Fenney,Michael J. Mccormick,class_oog.php
,675,,,29298,,,,,5,2720,Espresso,Molly Frei,Sven Frei,class_oog.php
,675,,,29298,,,,,6,2867,Chef Special,Tracy Fenney,Michael J. Mccormick,class_oog.php
,675,,,29298,,,,,7,2927,Dexter,Jake Evans,Jake Evans,class_oog.php
,675,,,29298,,,,,8,3022,Netezwiggy Vd Watermolen,Dorothy Douglas,Jelmer Hoekstra,class_oog.php
,675,,,29301,,,,,1,1576,Cadenza,Kelsey Duffy,Kelsey Duffy,class_oog.php
