class_no,class_number,class_payout,class_name,class_label,source
29017,312,,$100 Low Children's Hunter 15-17 2'6',312) $100 Low Children's Hunter 15-17 2'6',counts.php
29018,313,,$100 Low Children's Hunter 15-17 2'6',313) $100 Low Children's Hunter 15-17 2'6',counts.php
29019,314,,$50 Low Children's Hunter 15-17 2'6' U/S,314) $50 Low Children's Hunter 15-17 2'6' U/S,counts.php
29020,315,,$100 Low Children's Pony Hunter 2',315) $100 Low Children's Pony Hunter 2',counts.php
29021,316,,$100 Low Children's Pony Hunter 2',316) $100 Low Children's Pony Hunter 2',counts.php
29022,317,,$100 Low Children's Pony Hunter 2',317) $100 Low Children's Pony Hunter 2',counts.php
29023,318,,$100 Low Children's Pony Hunter 2',318) $100 Low Children's Pony Hunter 2',counts.php
29024,319,,$50 Low Children's Pony Hunter U/S,319) $50 Low Children's Pony Hunter U/S,counts.php
29025,320,,"$100 Low Adult Hunter 18-35 2'6""","320) $100 Low Adult Hunter 18-35 2'6""",counts.php
29026,321,,"$100 Low Adult Hunter 18-35 (1st rnd Classic) 2'6""","321) $100 Low Adult Hunter 18-35 (1st rnd Classic) 2'6""",counts.php
29027,322,,"$100 Low Adult Hunter 18-35 2'6""","322) $100 Low Adult Hunter 18-35 2'6""",counts.php
29028,323,,"$100 Low Adult Hunter 18-35 2'6""","323) $100 Low Adult Hunter 18-35 2'6""",counts.php
29029,324,,$50 Low Adult Hunter 18-35 U/S,324) $50 Low Adult Hunter 18-35 U/S,counts.php
29030,325,,"$100 Low Adult Hunter 36-54 2'6""","325) $100 Low Adult Hunter 36-54 2'6""",counts.php
29031,326,,$100 Low Adult Hunter 36-54 (1st rnd Classic) 2'6',326) $100 Low Adult Hunter 36-54 (1st rnd Classic) 2'6',counts.php
29032,327,,"$100 Low Adult Hunter 36-54 2'6""","327) $100 Low Adult Hunter 36-54 2'6""",counts.php
29034,328,,"$100 Low Adult Hunter 36-54 2'6""","328) $100 Low Adult Hunter 36-54 2'6""",counts.php
29035,329,,$50 Low Adult Hunter 36-54 U/S,329) $50 Low Adult Hunter 36-54 U/S,counts.php
29036,330,,"$100 Low Adult Hunter 55+ 2'6""","330) $100 Low Adult Hunter 55+ 2'6""",counts.php
29037,331,,$100 Low Adult Hunter 55+ (1st rnd Classic) 2'6',331) $100 Low Adult Hunter 55+ (1st rnd Classic) 2'6',counts.php
29038,332,,"$100 Low Adult Hunter 55+ 2'6""","332) $100 Low Adult Hunter 55+ 2'6""",counts.php
29039,333,,"$100 Low Adult Hunter 55+ 2'6""","333) $100 Low Adult Hunter 55+ 2'6""",counts.php
29040,334,,$50 Low Adult Hunter 55+ U/S,334) $50 Low Adult Hunter 55+ U/S,counts.php
29176,404,,"$10,000 USHJA UF Vet Hunter Derby 3' Open","404) $10,000 USHJA UF Vet Hunter Derby 3' Open",counts.php
29177,405,,"$10,000 USHJA National Hunter Derby 3' Jr/Am","405) $10,000 USHJA National Hunter Derby 3' Jr/Am",counts.php
29178,406,,"$10,000 Golden Ocala Hunter Derby 3'6/3'9","406) $10,000 Golden Ocala Hunter Derby 3'6/3'9",counts.php
29179,407,,"$2,000 USHJA Pony Hunt & Go Derby 2'3""/2'6""/2'9""","407) $2,000 USHJA Pony Hunt & Go Derby 2'3""/2'6""/2'9""",counts.php
29175,408,,"$2500 WEC NonPro Hunt & Go Derby 2'6"" Child","408) $2500 WEC NonPro Hunt & Go Derby 2'6"" Child",counts.php
29187,412,,"$3500 Junior Hunter Classic 3'6"" Small","412) $3500 Junior Hunter Classic 3'6"" Small",counts.php
29189,413,,"$3500 Junior Hunter Classic 3'6"" Large","413) $3500 Junior Hunter Classic 3'6"" Large",counts.php
33453,414,,"$2500 Junior Hunter Classic 3'3""","414) $2500 Junior Hunter Classic 3'3""",counts.php
29185,416,,"$2500 Amateur Owner Hunter Classic 3'3""","416) $2500 Amateur Owner Hunter Classic 3'3""",counts.php
29186,417,,"$3500 Amateur Owner Hunter Classic 3'6""","417) $3500 Amateur Owner Hunter Classic 3'6""",counts.php
29431,418,,"$2500 Pony Hunter Classic 2'3/2'6""/2'9""","418) $2500 Pony Hunter Classic 2'3/2'6""/2'9""",counts.php
29463,419,,"$1500 Green Pony Hunter Classic 2'9""/2'6""/2'3""","419) $1500 Green Pony Hunter Classic 2'9""/2'6""/2'3""",counts.php
29193,420,,$1000 Children's Pony Hunter Classic 2'/2'6',420) $1000 Children's Pony Hunter Classic 2'/2'6',counts.php
29194,421,,$1500 NAL/WIHS Children's Hunter Classic 14 & U 3',421) $1500 NAL/WIHS Children's Hunter Classic 14 & U 3',counts.php
29195,422,,$1500 NAL/WIHS Children's Hunter Classic 15-17 3',422) $1500 NAL/WIHS Children's Hunter Classic 15-17 3',counts.php
29196,423,,$1500 NAL/WIHS Adult Hunter Classic 18-35 3',423) $1500 NAL/WIHS Adult Hunter Classic 18-35 3',counts.php
29197,424,,$1500 NAL/WIHS Adult Hunter Classic 36+ 3',424) $1500 NAL/WIHS Adult Hunter Classic 36+ 3',counts.php
33454,425,,"$1250 Low Children's Hunter Classic 2'6""","425) $1250 Low Children's Hunter Classic 2'6""",counts.php
29199,427,,$1250 Low Adult Hunter Classic 18-35 2'6',427) $1250 Low Adult Hunter Classic 18-35 2'6',counts.php
29200,428,,$1250 Low Adult Hunter Classic 36+ 2'6',428) $1250 Low Adult Hunter Classic 36+ 2'6',counts.php
29181,430,,$1000 USHJA Green Hunter Incentive 3',430) $1000 USHJA Green Hunter Incentive 3',counts.php
29182,431,,"$1000 USHJA Green Hunter Incentive 3'3""","431) $1000 USHJA Green Hunter Incentive 3'3""",counts.php
29454,432,,"$1000 USHJA Green Hunter Incentive 3'6""/3'9""","432) $1000 USHJA Green Hunter Incentive 3'6""/3'9""",counts.php
29202,500,,Equitation 11/U 2',500) Equitation 11/U 2',counts.php
29203,501,,Equitation 11/U 2',501) Equitation 11/U 2',counts.php
29204,502,,Equitation 11/U Flat,502) Equitation 11/U Flat,counts.php
29205,503,,Equitation 12-14 2'9',503) Equitation 12-14 2'9',counts.php
29206,504,,Equitation 12-14 2'9',504) Equitation 12-14 2'9',counts.php
29207,505,,Equitation 12-14 Flat,505) Equitation 12-14 Flat,counts.php
29208,506,,"Equitation 15-17 3'3""","506) Equitation 15-17 3'3""",counts.php
29209,507,,"Equitation 15-17 3'3""","507) Equitation 15-17 3'3""",counts.php
29210,508,,Equitation 15-17 Flat,508) Equitation 15-17 Flat,counts.php
29211,509,,Adult Equitation 3',509) Adult Equitation 3',counts.php
29212,510,,Adult Equitation 3',510) Adult Equitation 3',counts.php
29213,511,,Adult Equitation Flat,511) Adult Equitation Flat,counts.php
29214,512,,Children's Equitation 3',512) Children's Equitation 3',counts.php
29215,513,,Children's Equitation 3',513) Children's Equitation 3',counts.php
29216,514,,Children's Equitation Flat,514) Children's Equitation Flat,counts.php
29217,515,,"Low Children's Equitation 2'6""","515) Low Children's Equitation 2'6""",counts.php
29218,516,,"Low Children's Equitation 2'6""","516) Low Children's Equitation 2'6""",counts.php
29219,517,,Low Children's Equitation Flat,517) Low Children's Equitation Flat,counts.php
29220,518,,"Low Adult Equitation 2'6""","518) Low Adult Equitation 2'6""",counts.php
29221,519,,Low Adult Equitation 2'6',519) Low Adult Equitation 2'6',counts.php
29222,520,,Low Adult Equitation Flat,520) Low Adult Equitation Flat,counts.php
29493,521,,"Pony Equitation 2'3""/2'6""/2'9""","521) Pony Equitation 2'3""/2'6""/2'9""",counts.php
29494,522,,"Pony Equitation 2'3""/2'6""/2'9""","522) Pony Equitation 2'3""/2'6""/2'9""",counts.php
29495,523,,Pony Equitation Flat,523) Pony Equitation Flat,counts.php
29490,524,,"Children's Pony Equitation 2'/2'6""","524) Children's Pony Equitation 2'/2'6""",counts.php
29491,525,,"Children's Pony Equitation 2'/2'6""","525) Children's Pony Equitation 2'/2'6""",counts.php
29492,526,,Children's Pony Equitation Flat,526) Children's Pony Equitation Flat,counts.php
29231,527,,Platinum Performance USEF Talent Search 3'9',527) Platinum Performance USEF Talent Search 3'9',counts.php
29229,528,,"USEF Hunter Seat Medal 3'6""","528) USEF Hunter Seat Medal 3'6""",counts.php
29240,529,,"WIHS Equitation Hunter Phase 3'6""","529) WIHS Equitation Hunter Phase 3'6""",counts.php
29241,530,,"WIHS Equitation Jumper Phase 3'6""","530) WIHS Equitation Jumper Phase 3'6""",counts.php
29242,531,,"WIHS Equitation Overall 3'6""","531) WIHS Equitation Overall 3'6""",counts.php
29243,532,,"ASPCA Maclay 3'6""","532) ASPCA Maclay 3'6""",counts.php
29244,533,,"NHS Medal 3'3""","533) NHS Medal 3'3""",counts.php
29232,534,,Ariat Adult Medal 3',534) Ariat Adult Medal 3',counts.php
29238,535,,THIS Children's Medal 14/U 3',535) THIS Children's Medal 14/U 3',counts.php
29239,536,,THIS Children's Medal 15-17 3',536) THIS Children's Medal 15-17 3',counts.php
29233,537,,"USHJA 3'3"" Am Jumping Seat Medal","537) USHJA 3'3"" Am Jumping Seat Medal",counts.php
29234,538,,"USHJA Jumping Seat Medal 3'3""","538) USHJA Jumping Seat Medal 3'3""",counts.php
29235,539,,"USHJA Hunter Seat Medal 3'3""","539) USHJA Hunter Seat Medal 3'3""",counts.php
29468,545,,"USEF Pony Medal (Open Card) 2'9""/2'6""/2'3""","545) USEF Pony Medal (Open Card) 2'9""/2'6""/2'3""",counts.php
29469,546,,"WIHS Pony Equitation (Open Card) 2'9""/2'6""/2'3""","546) WIHS Pony Equitation (Open Card) 2'9""/2'6""/2'3""",counts.php
29245,547,,THIS Adult Medal 3',547) THIS Adult Medal 3',counts.php
29246,548,,"World Equestrian Center Premier Cup 3'6""","548) World Equestrian Center Premier Cup 3'6""",counts.php
28950,549,,"NCEA Medal 3'3""","549) NCEA Medal 3'3""",counts.php
29140,600,,$100 .65m Jumper Open IV.1,600) $100 .65m Jumper Open IV.1,counts.php
29141,601,,$100 .65m Jumper Open IV.1,601) $100 .65m Jumper Open IV.1,counts.php
29142,602,,$100 .65m Jumper Open IV.1,602) $100 .65m Jumper Open IV.1,counts.php
29143,603,,$100 .65m Jumper Long Creek Farm Junior/Amateur IV.1,603) $100 .65m Jumper Long Creek Farm Junior/Amateur IV.1,counts.php
29144,604,,$100 .65m Jumper Long Creek Farm Junior/Amateur IV.1,604) $100 .65m Jumper Long Creek Farm Junior/Amateur IV.1,counts.php
29145,605,,$100 .65m Jumper Long Creek Farm Junior/Amateur IV.1,605) $100 .65m Jumper Long Creek Farm Junior/Amateur IV.1,counts.php
29391,606,,.75m Jumper Open IV.1,606) .75m Jumper Open IV.1,counts.php
29392,607,,.75m Jumper Open IV.1,607) .75m Jumper Open IV.1,counts.php
29393,608,,.75m Jumper Open IV.1,608) .75m Jumper Open IV.1,counts.php
29397,609,,.75m Jumper Junior/Amateur IV.1,609) .75m Jumper Junior/Amateur IV.1,counts.php
29398,610,,.75m Jumper Junior/Amateur IV.1,610) .75m Jumper Junior/Amateur IV.1,counts.php
29399,611,,.75m Jumper Junior/Amateur IV.1,611) .75m Jumper Junior/Amateur IV.1,counts.php
29152,618,,.85m Jumper Open II.2d,618) .85m Jumper Open II.2d,counts.php
29153,619,,.85m Jumper Open II.2d,619) .85m Jumper Open II.2d,counts.php
29154,620,,.85m Jumper Open II.2b,620) .85m Jumper Open II.2b,counts.php
29156,621,,.85m Jumper Junior/Amateur II.2d,621) .85m Jumper Junior/Amateur II.2d,counts.php
29157,622,,.85m Jumper Junior/Amateur II.2d,622) .85m Jumper Junior/Amateur II.2d,counts.php
29158,623,,.85m Jumper Junior/Amateur II.2b,623) .85m Jumper Junior/Amateur II.2b,counts.php
29394,624,,.95m Jumper II.1,624) .95m Jumper II.1,counts.php
29159,627,,1.00m Jumper II.1,627) 1.00m Jumper II.1,counts.php
29160,628,,1.00m Jumper II.2d,628) 1.00m Jumper II.2d,counts.php
29401,629,,1.00m Jumper II.1,629) 1.00m Jumper II.1,counts.php
29161,630,,1.10m Jumper II.1,630) 1.10m Jumper II.1,counts.php
29162,631,,1.10m Jumper II.2d,631) 1.10m Jumper II.2d,counts.php
29163,632,,1.10m Jumper II.2b,632) 1.10m Jumper II.2b,counts.php
29164,633,,1.15m Jumper II.1,633) 1.15m Jumper II.1,counts.php
29165,634,,1.15m Jumper II.2d,634) 1.15m Jumper II.2d,counts.php
29402,635,,1.15m Jumper II.2b,635) 1.15m Jumper II.2b,counts.php
29128,636,,$500 1.20m Jumper II.1,636) $500 1.20m Jumper II.1,counts.php
29129,637,,$500 1.20m Jumper II.2d,637) $500 1.20m Jumper II.2d,counts.php
29130,638,,$500 1.20m Jumper II.2b,638) $500 1.20m Jumper II.2b,counts.php
29131,642,,$1000 1.30m Jumper II.1,642) $1000 1.30m Jumper II.1,counts.php
29132,643,,$1000 1.30m Jumper II.2d,643) $1000 1.30m Jumper II.2d,counts.php
29133,644,,$1000 1.30m Jumper II.2b,644) $1000 1.30m Jumper II.2b,counts.php
29134,645,,$1000 1.35m Jumper II.1,645) $1000 1.35m Jumper II.1,counts.php
29135,646,,$1000 1.35m Jumper II.2d,646) $1000 1.35m Jumper II.2d,counts.php
29136,647,,$1000 1.35m Jumper II.2b,647) $1000 1.35m Jumper II.2b,counts.php
29137,648,,$1500 1.40m Jumper II.1,648) $1500 1.40m Jumper II.1,counts.php
29138,649,,$1500 1.40m Jumper II.2d,649) $1500 1.40m Jumper II.2d,counts.php
28979,650,,$2000 1.45m Jumper II.1,650) $2000 1.45m Jumper II.1,counts.php
29433,680,,.90m Young Jumpers II,680) .90m Young Jumpers II,counts.php
29449,681,,.90m Young Jumpers II,681) .90m Young Jumpers II,counts.php
29450,682,,.90m Young Jumpers II,682) .90m Young Jumpers II,counts.php
29451,683,,1.0m Young Jumpers II,683) 1.0m Young Jumpers II,counts.php
29452,684,,1.0m Young Jumpers II,684) 1.0m Young Jumpers II,counts.php
29453,685,,1.0m Young Jumpers II,685) 1.0m Young Jumpers II,counts.php
29166,686,,1.10m Young Jumper II,686) 1.10m Young Jumper II,counts.php
29167,687,,1.10m Young Jumper II,687) 1.10m Young Jumper II,counts.php
29168,688,,1.10m Young Jumper II,688) 1.10m Young Jumper II,counts.php
29169,689,,$250 1.20m Young Jumper II.1,689) $250 1.20m Young Jumper II.1,counts.php
29170,690,,$250 1.20m Young Jumper II.2d,690) $250 1.20m Young Jumper II.2d,counts.php
29171,691,,$250 1.20m Young Jumper II.2b,691) $250 1.20m Young Jumper II.2b,counts.php
29172,692,,$250 1.30m Young Jumper II.1,692) $250 1.30m Young Jumper II.1,counts.php
29173,693,,$250 1.30m Young Jumper II.2d,693) $250 1.30m Young Jumper II.2d,counts.php
29174,694,,$250 1.30m Young Jumper II.2b,694) $250 1.30m Young Jumper II.2b,counts.php
29125,695,,$100 1.0m Thoroughbred Jumper II.1,695) $100 1.0m Thoroughbred Jumper II.1,counts.php
29126,696,,$100 1.0m Thoroughbred Jumper II.2d,696) $100 1.0m Thoroughbred Jumper II.2d,counts.php
29127,697,,$100 1.0m Thoroughbred Jumper II.2b,697) $100 1.0m Thoroughbred Jumper II.2b,counts.php
29119,731,,$150 .90m Novice Junior Jumper II.1,731) $150 .90m Novice Junior Jumper II.1,counts.php
29120,732,,$150 .90m Novice Junior Jumper II.2d,732) $150 .90m Novice Junior Jumper II.2d,counts.php
29122,734,,$150 .90m Novice Amateur Jumper II.1,734) $150 .90m Novice Amateur Jumper II.1,counts.php
29123,735,,$150 .90m Novice Amateur Jumper II.2d,735) $150 .90m Novice Amateur Jumper II.2d,counts.php
29113,737,,$200 1.00m Junior Jumper II.1,737) $200 1.00m Junior Jumper II.1,counts.php
29114,738,,$200 1.00m Junior Jumper II.2d,738) $200 1.00m Junior Jumper II.2d,counts.php
29116,740,,$200 1.00m Amateur Jumper II.1,740) $200 1.00m Amateur Jumper II.1,counts.php
29117,741,,$200 1.00m Amateur Jumper II.2d,741) $200 1.00m Amateur Jumper II.2d,counts.php
29107,749,,$500 1.10m Junior Jumper II.1,749) $500 1.10m Junior Jumper II.1,counts.php
29108,750,,$500 1.10m Junior Jumper II.2d,750) $500 1.10m Junior Jumper II.2d,counts.php
29110,755,,$500 1.10m Amateur Jumper II.1,755) $500 1.10m Amateur Jumper II.1,counts.php
29111,756,,$500 1.10m Amateur Jumper II.2d,756) $500 1.10m Amateur Jumper II.2d,counts.php
29104,757,,$600 1.15m Junior/Amateur Jumper II.1,757) $600 1.15m Junior/Amateur Jumper II.1,counts.php
29105,758,,$600 1.15m Junior/Amateur Jumper II.2d,758) $600 1.15m Junior/Amateur Jumper II.2d,counts.php
29477,768,,$1500 1.20m Junior/Amateur Jumper II.1,768) $1500 1.20m Junior/Amateur Jumper II.1,counts.php
29478,769,,$1500 1.20m Junior/Amateur Jumper II.2d,769) $1500 1.20m Junior/Amateur Jumper II.2d,counts.php
33465,775,,$2000 1.30m JR/AM Jumper II.1,775) $2000 1.30m JR/AM Jumper II.1,counts.php
33466,776,,$2000 1.30m JR/AM Jumper II.2d,776) $2000 1.30m JR/AM Jumper II.2d,counts.php
29095,781,,$2500 1.40m Jr/Am Jumper II.1,781) $2500 1.40m Jr/Am Jumper II.1,counts.php
29096,782,,$2500 1.40m Jr/Am Jumper II.2d,782) $2500 1.40m Jr/Am Jumper II.2d,counts.php
29180,803,,"$10,000 Buckeye Nutrition Futures Prix 1.40m II.2b","803) $10,000 Buckeye Nutrition Futures Prix 1.40m II.2b",counts.php
29455,804,,"$15,000 C. Jarvis Insurance Welcome Prix 1.40m II.2b","804) $15,000 C. Jarvis Insurance Welcome Prix 1.40m II.2b",counts.php
29413,805,,"$50,000 First Equestrian Grand Prix 1.45m II.2a American Std","805) $50,000 First Equestrian Grand Prix 1.45m II.2a American Std",counts.php
29121,809,,$500 .95m Novice Junior Classic II.2b,809) $500 .95m Novice Junior Classic II.2b,counts.php
29124,810,,$500 .95m Novice Amateur Classic II.2b,810) $500 .95m Novice Amateur Classic II.2b,counts.php
29115,811,,$750 1.05m Junior Classic II.2b,811) $750 1.05m Junior Classic II.2b,counts.php
29118,812,,$750 1.05m Amateur Classic II.2b,812) $750 1.05m Amateur Classic II.2b,counts.php
29109,813,,$2500 1.10m NAL/WIHS Junior Classic II.2b,813) $2500 1.10m NAL/WIHS Junior Classic II.2b,counts.php
29112,815,,$2500 1.10m NAL/WIHS Amateur Classic II.2b,815) $2500 1.10m NAL/WIHS Amateur Classic II.2b,counts.php
29106,816,,$3000 1.15m Junior/Amateur Classic II.2b,816) $3000 1.15m Junior/Amateur Classic II.2b,counts.php
29409,817,,$500 .65m Long Creek Farm Junior/Amateur Classic II.2b,817) $500 .65m Long Creek Farm Junior/Amateur Classic II.2b,counts.php
29410,818,,$500 .75m Junior/Amateur Classic II.2b,818) $500 .75m Junior/Amateur Classic II.2b,counts.php
29412,820,,$500 .85m Junior/Amateur Classic II.2b,820) $500 .85m Junior/Amateur Classic II.2b,counts.php
29479,851,,$5000 NAL 1.25m FreeRide Equestrian Jr/Am Classic II.2b,851) $5000 NAL 1.25m FreeRide Equestrian Jr/Am Classic II.2b,counts.php
29100,853,,$5000 NAL 1.35m Prestige Italia Jr/Am Classic II.2b,853) $5000 NAL 1.35m Prestige Italia Jr/Am Classic II.2b,counts.php
29097,855,,"$10,000 1.45m Junior/Amateur Classic II.2b","855) $10,000 1.45m Junior/Amateur Classic II.2b",counts.php
29139,856,,$7500 1.40m ARIAT Jumper Classic II.2b,856) $7500 1.40m ARIAT Jumper Classic II.2b,counts.php
29470,900,,Short/Long Stirrup Hunter 2',900) Short/Long Stirrup Hunter 2',counts.php
29471,901,,Short/Long Stirrup Hunter (1st rnd Classic)) 2',901) Short/Long Stirrup Hunter (1st rnd Classic)) 2',counts.php
29472,902,,Short/Long Stirrup Hunter 2',902) Short/Long Stirrup Hunter 2',counts.php
29473,903,,Short/Long Stirrup Hunter 2',903) Short/Long Stirrup Hunter 2',counts.php
29474,904,,Short/Long Stirrup Hunter U/S,904) Short/Long Stirrup Hunter U/S,counts.php
29496,910,,Short/Long Stirrup Equitation 2',910) Short/Long Stirrup Equitation 2',counts.php
29497,911,,Short/Long Stirrup Equitation 2',911) Short/Long Stirrup Equitation 2',counts.php
29498,912,,Short/Long Stirrup Equitation Flat,912) Short/Long Stirrup Equitation Flat,counts.php
33455,916,,"Crossrails 18""","916) Crossrails 18""",counts.php
33456,917,,"Crossrails 18""","917) Crossrails 18""",counts.php
33457,918,,"Crossrails 18""","918) Crossrails 18""",counts.php
33458,919,,"Crossrails 18""","919) Crossrails 18""",counts.php
33459,920,,Crossrails Flat,920) Crossrails Flat,counts.php
29201,926,,$500 Short Stirrup/Long Stirrup Classic 2',926) $500 Short Stirrup/Long Stirrup Classic 2',counts.php
29248,927,,Walk Trot Equitation Ground Rails,927) Walk Trot Equitation Ground Rails,counts.php
29249,928,,Walk Trot Equitation Ground Rails,928) Walk Trot Equitation Ground Rails,counts.php
29250,929,,Walk Trot Equitation Ground Rails,929) Walk Trot Equitation Ground Rails,counts.php
29251,930,,Walk Trot Equitation Ground Rails,930) Walk Trot Equitation Ground Rails,counts.php
29252,931,,Walk Trot Equitation Ground Rails Flat,931) Walk Trot Equitation Ground Rails Flat,counts.php
29247,2001,,Leadline,2001) Leadline,counts.php
28944,2200,,FEI CSI2* Horse Inspection & Jog,2200) FEI CSI2* Horse Inspection & Jog,counts.php
29237,2201,,"$4,000 4CYTE 1.40m CSI2* Two Phase 222.1.4.3","2201) $4,000 4CYTE 1.40m CSI2* Two Phase 222.1.4.3",counts.php
28941,2202,,"$32,000 4CYTE 1.45m CSI2* Speed 220.2.1.1","2202) $32,000 4CYTE 1.45m CSI2* Speed 220.2.1.1",counts.php
28943,2203,,"$32,000 4 CYTE Grand Prix Qualifier CSI2* 1.45m 220.2.1.2","2203) $32,000 4 CYTE Grand Prix Qualifier CSI2* 1.45m 220.2.1.2",counts.php
28940,2204,,"$85,000 4CYTE Grand Prix FEI CSI2* 1.45m 220.2.1.2","2204) $85,000 4CYTE Grand Prix FEI CSI2* 1.45m 220.2.1.2",counts.php
29265,9001,,Ticketed Schooling-Tuesday Indoor 5 8:00 am- 4:00 pm,9001) Ticketed Schooling-Tuesday Indoor 5 8:00 am- 4:00 pm,counts.php
29266,9002,,Ticketed Schooling-Tuesday Indoor 6 8:30 am 4:30 pm,9002) Ticketed Schooling-Tuesday Indoor 6 8:30 am 4:30 pm,counts.php
29269,9004,,Ticketed Schooling-Tuesday Indoor 1 8:30 am 4:30 pm,9004) Ticketed Schooling-Tuesday Indoor 1 8:30 am 4:30 pm,counts.php
29270,9005,,Ticketed Schooling-Tuesday Indoor 2 8:30 am 4:30 pm,9005) Ticketed Schooling-Tuesday Indoor 2 8:30 am 4:30 pm,counts.php
29272,9006,,Ticketed Schooling-Tuesday Indoor 4 8:00 am 3:00am,9006) Ticketed Schooling-Tuesday Indoor 4 8:00 am 3:00am,counts.php
29408,9013,,Ticketed Schooling- Wednesday Hunter 2 8am- 3:00pm,9013) Ticketed Schooling- Wednesday Hunter 2 8am- 3:00pm,counts.php
29417,9014,,Ticketed Schooling- Thursday Hunter 2 8am- 3pm,9014) Ticketed Schooling- Thursday Hunter 2 8am- 3pm,counts.php
29418,9015,,Ticketed Schooling- Friday Hunter 2 8am- 3pm,9015) Ticketed Schooling- Friday Hunter 2 8am- 3pm,counts.php
29419,9016,,Ticketed Schooling- Saturday Hunter 2 8am- 3pm,9016) Ticketed Schooling- Saturday Hunter 2 8am- 3pm,counts.php
29420,9017,,Ticketed Schooling- Sunday Hunter 2 8am- 12pm,9017) Ticketed Schooling- Sunday Hunter 2 8am- 12pm,counts.php
33484,9018,,Ticketed Schooling- Tuesday Jumper Annex 8:00am-3:00pm,9018) Ticketed Schooling- Tuesday Jumper Annex 8:00am-3:00pm,counts.php
33485,9019,,Ticketed Schooling- Wednesday Jumper Annex 8:00am-3:00pm,9019) Ticketed Schooling- Wednesday Jumper Annex 8:00am-3:00pm,counts.php
33486,9020,,Ticketed Schooling- Thursday Jumper Annex 8:00am-3:00pm,9020) Ticketed Schooling- Thursday Jumper Annex 8:00am-3:00pm,counts.php
33493,13,$400,High Perf 4'/Perf Hunter 3'6,13) $400 High Perf 4'/Perf Hunter 3'6,update_schedule.php
33494,14,$400,High Perf 4'/Perf Hunter 3'6,14) $400 High Perf 4'/Perf Hunter 3'6,update_schedule.php